[00:00.520] 2020年7月22号，
[37:19.100] 吃饭起来小学生一样，
[37:21.400] 不准过分，
[37:22.800] 不用在教师教育。
[37:25.520] 不过看一下女士，这个是咱们服务公约，看一下没问题，再次确认签上您的名字，就是针对咱们此次购车没有这种捆绑销售行为在这签个名字。
[37:42.250] 就这上面对。
[37:44.500] 行，今后会接到我们电源厂家的回访，如果各方面都挺满意的话，希望您评个满分，然后咱们有两个二维码，您这边扫一下，一个是我们店的电话，还有一个是咱们店的公众号关注一下就行。
[37:58.340] 小的地方登录，对，这是咱们店的电话，您可以存一下，如果有需要帮助的话可以联系你大码的小姐，就是
[38:06.850] 他肯定
[38:08.200] 然后最后是公众号，如果有一些活动的话，想到店参与的话也可以，然后存一下就行。
[38:14.150] 晚上
[38:17.390] 有点
[38:19.660] 情况
[38:21.470] 的
[38:26.180] 对这个原因下降，这是咱们店的公众号关注一下就行。
[38:31.970] 后续会有一些活动什么之类的都会在上面显示，您要感兴趣可以带上报名参加，好的。
[38:38.030] 行，没有其他问题了，女士您先办其他业务吗？行行好行行，你吃饭了吗？还没一会你跟先生先去吃饭，吃完饭回来找在哪吃饭，您销售是哪个？
[38:49.240] 范范承包对饭吃饱行没问题，然后你手机上有下料，我刚才给我
[38:57.020] 给卷了吗？给劝别问我跟你说在哪，然后你吃完饭回来再来找我，行，我这样我给您交接一下售后的保养保修服务内容，注意事项之类的，
[39:06.350] 他就高兴干嘛去了，你去装饰去，我也去哪了，身份证今天晚上见了，您稍微等一会。
[39:13.550] 他就是去快多长时间，10多分钟马上回来。
[39:17.900] 10多分钟我控制他们等
[39:20.320] 我也去趟洗手间，就前面走。
[39:33.810] 把这个要给我寄服务工具他没签。
[39:40.640] 你能帮我签字吗？
[39:46.140] 帮我附近的。
[39:53.340] 的
[39:57.650] 有用，人家领导完全我钱不都一个字吗？
[40:03.400] 我的朋友，
[40:06.320] 我们都是可用的人，别说签字的，
[40:09.920] 怎么就可以了，你再怎么也得上去天是吧？
[40:14.330] 经常性
[40:19.140] 了
[40:24.160] 号
[40:28.840] 他们带两个去吃饭才行。
[40:33.400] 我就没事了，好感谢，好谢谢您，别怪您，我们叫车上我们要是都在帅点，对。
[40:40.260] 一会让小花带您去取车就行，好。
[40:43.710] 他小范刚才来了是吗？没来。
[40:46.970] 没问题行我知道了。
[40:50.520] 给您发过去了，他给我了。
[40:56.880] 在一开始就拿到了看看。
[40:58.520] 忙对我听说又装饰，所以重要。
[41:01.720] 到
[41:02.630] 今天
[41:04.970] 上班我也上班了。
[41:08.310] 刚才
[41:11.600] 是他们幼儿园报名了。
[41:17.080] 了。
