[00:00.170] 2020年7月29号张良客户林久强登录您在那吧。
[36:18.750] 因为这个是实名制的，如果说您是军人，得用军官证，甚至没信息了，打了多年了，给您手机发了一个短信，里边有一个6位数字的激活码，
[36:29.280] 收到告诉我，
[36:30.970] 有问题没有？
[36:32.140] 他奔驰只要还是6.68。
[36:35.920] 不是注册完了，您用您可以自己手机下软件直接用就行，54417。
[36:41.180] 好。
[36:42.090] 二位都是安卓系统是吗？
[36:45.290] 对。
[36:46.410] 扫我一马，然后安装一下软件。
[36:48.910] 传统手机
[36:53.750] 549183。
[36:55.860] 您的车牌。
[36:57.140] 算了不了。
[36:59.250] 微信扫码安装那软件。
[37:03.340] 你要用你也扫。
[37:04.600] 一样都得用到。
[37:06.770] 谁知。
[37:13.080] 还有
[37:16.040] 也
[37:17.350] 内容。
[37:20.630] 后来
[37:21.620] 的
[37:23.470] 就是三年
[37:25.130] 不到三年的时候，我们尽量把这个东西
[37:29.540] 说一下一个概念，我那车到现在汽车市场，但是我
[37:36.960] 谁知
[37:42.460] 拨好几个还不一样。
[37:45.950] 段
[37:48.960] 一个当地的
[37:52.190] 谁知
[37:56.140] 结果
[37:59.020] 谁知
[38:02.610] 谁知
[38:06.390] 的。
[38:08.120] 你看后面放娱乐系统怎么放的，因为
[38:11.160] 现在。
[38:13.600] 买84后面娱乐系统插光盘。
[38:16.670] U盘不行吗？
[38:19.840] 优盘吗？现在后边现在都变成HMI那种高清的了，高清也才高兴出来。
[38:25.820] 对。
[38:26.600] 你肯定吗？
[38:28.460] 暖气有什么意见？对hello。
[38:31.380] 你好。
[38:32.350] 您在哪话题做东西，汽车没有。
[38:35.300] 谁知
[38:37.850] 你们着重考虑，然后大概的销售
[38:41.580] 因为您说完之后，今天咱们直接上来。
[38:46.020] 在哪？
[38:48.030] 咱们找出来自己来我看。
[38:51.520] 刚。
[38:52.940] 你别使QQ浏览器识别的浏览器。
[38:55.130] 还远去扫，不是微信扫微信。
[38:57.070] 微信扫。
[38:58.500] 什么事儿？
[38:59.560] 你打开你的浏览器中打开。
[39:04.770] 谁知
[39:07.120] 您说的是小号上前台扫除了。
[39:13.390] 没事找。
[39:17.630] 慢点。
[39:24.830] 把
[39:28.750] 技术。
[39:29.520] 网不好。
[39:38.540] 数据。
[39:40.250] 了。
[39:43.400] 坏
[39:49.280] 电话
[39:57.850] 的
[40:04.520] 往往
[40:11.370] 的
[40:12.240] 是吧？
[40:15.550] 的。
[40:23.700] 说
[40:26.480] 号。
[40:27.450] 今天激活，明天正式启用，
[40:29.950] 明天这个手机上能看到什么，能看到您这车所有的数据，
[40:35.300] 您车跑多公里剩多少油，玻璃水是否缺失，什么时候保养？
[40:39.940] 门窗是门我没走好，您跟卫星。
[40:43.840] 对同步跟您车那个状态是同步的。
[40:46.980] 跟车里自己找的一样，
[40:49.200] 那就不用倒车去看，直接看手机行。
[40:55.210] 待会手机会收到实名认证通的短信，他会提示您这台车
[41:00.070] 747315完成实名制认证才可以。
[41:05.760] 这是刚提一会还会完成。
[41:09.870] 他就打的走的。
[41:12.810] 然后当时手机说明白点，
[41:30.330] 当时手机也说你
[41:33.680] 教会
[41:35.490] 是吧？
[41:36.720] 账号名字加号发给我的手机，
[41:41.160] 最起码带个小点的照片。
[41:52.720] 的社区。
[41:54.200] 后面再有。
[41:55.480] 前面没钱没影响。
[41:59.760] 没啥。
[42:00.840] C级车只有倒影，
[42:03.430] 一级车才有360度了，
[42:06.410] 如果不用我就自己往靠一墙的瓶子，
[42:11.540] 是不是包括我个人的雷达自动就会告诉您，一进来它就能蹦出来了，你远了没有，您进来就出来了。
[42:19.710] 您就记住了，洪格量就接近极限距离了，您就要注意了，因为我看到你说倒车，咱看后报上了白色，前面条件就模拟的那数字出现了。
[42:30.040] 在做雷达，
[42:39.190] 领导中间没看，
[42:40.940] 不会出去了。
[42:43.960] 这老停在窗里面，原来咱们这边现在开
[42:47.510] 了。
[42:52.300] 好慢。
[42:53.870] 这边是下了一半，这边一共
[42:56.480] 就是三号这屋里的三号。
[43:00.610] 咱们都是看那个号。
[43:07.090] 等
[43:09.710] 账号
[43:14.000] 点。
[43:14.960] 新房
[43:17.880] 咱们车里卖给在哪？既然车子电话接着就在。
[43:22.890] 您车子上面那一小块有一块卖了，
[43:27.270] 您正常说话稍微大点声，语速慢一点的。
[43:30.560] 没问题。
[43:32.060] 如果
[43:33.180] 上
[43:38.790] 谁知。
[43:42.090] 咱们疯子没有房子炫目。
[43:44.860] 电脑？
[43:46.000] 不是电子的。
[43:51.640] 玩。
[43:52.360] 的安排。
[43:53.690] 谁知。
[43:59.280] 张伟刚才来了吗？
[44:01.890] 了。
[44:04.130] 然后立马
[44:07.030] 49~3分钟，
[44:13.070] 太多，将来这车有什么问题在该录下来不好听呢，
[44:18.840] 这车有什么脱钩这些有吗？没有，我就应该说。
[44:23.290] 第三排。
[44:24.240] 因为到了中元。
[44:25.970] 我没座了，我看一下。
[44:29.190] 你这照不出来了。
[44:31.220] 漂亮的。
[44:33.170] 要。
[44:38.400] 他家的消纳盖开始位置在哪呢？
[44:44.100] 4门开着所有心愿，他在外面按一下，它自动就弹开了。
[44:49.350] 就在驾驶室左侧那个吗？
[44:52.940] 没有单独的邮箱开启开关。
[44:57.860] 您4个门是开锁的情况下，您行在外面按一下开了。
[45:02.490] 锁车的状态也是连动锁死的，车里没有单独开关，就是没有说单那种，那么没有一个单独开光。
[45:09.570] 老的油箱盖要干什么的可以刷进来。
[45:13.930] 那期动他
[45:17.030] 是那样，对，我们都自己锁了，不锁它就。
[45:21.320] 按一下就开了。
[45:22.710] 也可以，但是车辆结果那些东西就是反应要离婚，因为咱加油就别修都不知道，还找
[45:31.040] 比如说您要是落车了。
[45:33.630] 也。
[45:34.380] 也让你们
[45:36.240] 把
[45:37.290] 这些东西都了，没有咱们肯定有出口。
[45:42.830] 有的车我看您来这个玻璃就。
[45:44.930] 用贴图就是按月。
[45:48.160] 然后。
[45:50.300] 本人是隐私玻璃，他就带颜色。
[45:54.850] 但是他不隔热也不防爆，您该贴门还得贴膜，对。
[46:01.370] 一下，咱们也没说送到楼下买，这都贴了白色。
[46:07.610] 用一些补贴很热，晒学校还有
[46:13.060] 贴膜也挺贵的，好请你没有什么薄膜什么释放什么呢？
[46:18.550] 你挂屋里。
[46:19.840] 上面写。
[46:20.830] 到屋里往往那边花也出门了，最高不得后面那东西可以说一点磨都不贴，别。
[46:27.630] 人不能随便。
[46:28.860] 哪成你跑高速行不等玻璃。
[46:31.400] 贯穿了怎么办不？
[46:33.400] 他希望您的步骤咱墙角疼痛从来没有了，其他的我们俩去掉我Q
[46:38.930] 你不能贴后背全都不要了。
[46:42.030] 前导才最应该贴的。
[46:43.840] 我刚才没啥事，没有这个问题，然后您这边整天。
[46:48.010] 不用。
[46:50.190] 然后对我哥这没有登记。
[46:52.570] 我来这都没有，要不你到酒气，但是。
[46:54.700] 还记不下来，马上到时候。
[46:57.310] 先把我的电话一会存上来，
[46:59.150] 联系用车过程中哪有问题打给我就行。
[47:06.570] 听听您贴膜的目的是
[47:08.940] 一个是隔热，一个是防爆，你现在普通玻璃你跑高速，一个池子有可能直接就贯穿了，理解吗？
[47:16.610] 你贴上膜它只是列他凑过来是这意思最应该提的就是钱倒霉。
[47:22.830] 你玻璃侧面它有一个折射的前挡，
[47:26.500] 政治类的它是最容易达成意见。
[47:29.040] 他确确实实是一个著名。
[47:31.780] 红色的前档都是测一下召开不错就推荐。
[47:36.620] 有人说换人换车要换，我肯定一个是防紫外线，一个是隔热。先生咱们这边是置换还。
[47:43.190] 这块。
[47:44.940] 魔首次保养多少钱的都有。
[47:47.800] 手机一下到时候根据自己需求，然后。
[47:51.250] 你看看方便田园开店，把车门给弄出来，不要打开就行了。
[47:56.970] 对，别着急说一下二号什么有。
[48:02.520] 10802600。
[48:05.600] 一会我都问一下中国，
[48:07.700] 中国没问题，简体中文没问题。
[48:12.290] 接受
[48:13.690] 登录大一点的
[48:18.970] 搞搞店铺的话也不合适，然后随意您先生都喜欢，所以我一直等。
[48:29.560] 加号。
[48:30.700] 86. 
[48:31.480] 三。
[48:32.480] 好，数字里的加号。
[48:36.200] 加8686，然后先生电话。
[48:40.330] 然后咱们这个是一个服务公约。
[48:43.010] 就成功没有密码，是大A小A123456，什么小微123456，
[48:49.910] 回头自己10天以后点击忘记密码就变更一下。
[48:53.370] M码甜甜。对。
[48:56.190] 头点变更的时候点忘记密码。
[48:58.720] 把电话自己填上。
[49:00.280] 保存要不下午还得。
[49:04.530] 是就跑开算算买车，专门做送脚垫送礼品。
[49:12.940] 登录干嘛这写什么写谁知。
[49:16.340] 有签名反正。
[49:19.820] 我马上就完了就签字了，来了。
[49:22.740] 您看咱们这有精品，您在这贴也行，我就说。
[49:28.630] 这要贴不做保养，什么就单独联系，明天这会车的照片，
[49:35.490] 明天这行会显示你说所有的数据在这都能看出来，因为今天刚提
[49:41.130] 它需要一个实名认证过程，正常咱们是24小时之内同步到您手机上。
[49:45.960] 好了行您给。我签了吗？
[49:49.450] 我给她提醒了吗？
[49:51.140] 然后nana你看好他用的多了，
[49:56.360] 你们怎么老客户签返丫又欠下了，刚才那谁也是线下。
[50:01.180] 他们看线下我们就接下来了，没事，您给我签上面后签字，先我一看那边切下我贴下面。
[50:09.360] 都是反着的。
[50:12.120] 上面宝马咱们7天以后会接到一个回访电话。
[50:20.040] 1358。
[50:21.380] 尾号9103是您的我的OK。
[50:23.880] 谁知
[50:29.040] 然后边走好吧？
[50:32.420] 然后现在咱们这块公众号可以关注一下，然后如果。
[50:36.660] 我们那场活动可以报名参加，
[50:39.220] 然后。
[50:40.920] 时间到。
[50:44.310] 然后微信扫一下。
[50:48.860] 可以关注一下公众号。
[50:52.510] 咱们
[50:53.760] 信号不好。
[50:55.850] 网络系统对物理信号弱。
[50:59.520] 公园到5点信号
[51:02.280] 手机上来。
[51:03.480] 行，您拿着您拍个照片。
[51:07.050] 来先生这行。
[51:09.590] 网络不可用是离开yy
[51:13.090] WiFi透明马路上，我这边试一下。
[51:16.040] 肯定打杀人。
[51:18.340] 没问题，您说在中间旁边一这一个人房产能咋三个人？
[51:22.880] 知道是林先生
[51:25.310] 签几个字。
[51:27.920] 我过来了。
[51:29.790] 这是三包的复印件，原件在您车里空白着。
[51:32.760] 千金千万中间你意思说就是坐车里也没钱，这就是旅游的。
[51:41.060] 这是报给厂家用的，代表着三包那种原件东西必须得给您。
[51:45.520] 再扫一下。
[51:47.920] 扫一下这不开始吗？就给了我这手机调了。
[51:51.600] 下一个。
[51:52.470] 又没下没下来是吗？刚才那信号。
[51:56.240] 手机给您发一个机会。
[51:59.480] 咱们的邮箱我也没办法，这车油箱。
[52:01.680] 多大腰直60跟这签一个。
[52:05.690] 60百公里要8个油的话63千瓦。
[52:12.510] 这一点P。
[52:15.170] 要不再贴着什么说没劲儿，车辆的移交及明细，
[52:19.890] 包括车辆的外观内饰整洁，发票合格证、保险全都在着凉，那验完车一次性交接给您，要是
[52:28.360] 这是一碗，我马上去库里给您拿。
[52:30.710] 一会。
[52:31.780] 功能跟您讲，
[52:33.380] 一会把电话留给您，用车过程中哪有问题，不同的地方更有三包，在车内防守，坐在车内互联，就是这软件已经下完了，
[52:43.150] 没有被他辞职工具，三脚架，肌肉包原车自带。
[52:46.990] 注意事项我告知您了，救援车险的M1的硬件，三年免费，全国性质。
[52:54.070] 保养一年1万公里，售后救援一年的三年可以。
[53:01.270] 双方的电话刚才给您只了，我妈今天493包第一大部分。
[53:04.880] 一张盖着丈夫见了。
[53:07.130] 完了。
[53:08.300] 您当天明天再打开对吧？
[53:10.670] 到听对。
[53:13.200] 我也输这号就完了。
[53:15.740] 对您这句话您可以抄一下，本人充分了解以上所有条款就能上来说道什么演出，后边的签个名字不我知道这就是小银行的钱左右研究，因为这个。
[53:29.520] 好多。
[53:30.130] 有的客户是外地后门自己验车，所以原件手续交接的话这必须给您签了。
[53:35.640] 您要不然您丢了没法，完了之后来这听清楚还是非常麻烦。
[53:41.170] 个牌子还得对手。
[53:44.190] 我这完事了，我让伯良他去给您办灵堂了，您这稍等会儿，我们这边上这同事会给您具体说一下咱们售后的服务。
[53:53.320] 打一小123456密码。
[53:55.370] 什么能改，一周之后你就之后。
[53:59.640] 就是说如果开当中有些不明白，对，您把我电话您存上。
[54:05.410] 您说139
[54:07.890] 0。
[54:09.200] 137. 
[54:10.930] 1098. 
[54:12.140] 130. 
[54:13.430] 36961，您这叫林登，郭晋。
[54:18.140] 郭晋山西简称晋字，郭俊，郭晋
[54:23.220] 也。
[54:24.790] 跟市场沟通。
[54:28.590] 云计算设，后来什么样销售？
