[00:04.780] 好，你不要了。
[44:49.130] 您可以这样弄，
[44:50.700] 您因为牵扯到一个置换补贴的事，比如置换补贴里边有5000，
[44:56.280] 你说厂家给的押金吗对吧？也可以交，先把这5000块钱押金先交了，
[45:00.810] 赶紧把车放在这的时候，
[45:02.810] 我再退您这5。
[45:06.750] 是不是？我说这个意思？
[45:08.480] 比如说我们想买这个车，但是我那个旧车我明白您的意思，您看先生就这样，
[45:15.290] 您看这个报价单，
[45:17.470] 他有一个置换提供5000，这不提供保险对吧？
[45:21.210] 然后比如说您这边新车手续都办完了，
[45:23.930] 然后您那就车真不放着，不是您要开车去外地吗？那没问题，这5000块钱我也给您简单的保险里边，现在但是您给我交一个5000块钱的保证金，然后我来的时候这个就是说已经把车给我之后，然后我这钱退名，只要不给我了，那我就因为这就不给我不就没有这个了吗？我这钱就不错了，对，就相当于车我自己处理了。
[45:46.850] 能明白这意思？
[45:49.000] 那就是说可以这么处理，您可以坐车掀开了没问题，等您回来之后您再放我走了那。
[45:55.090] 行，这等方式就说那车到底怎么处理还是交给你处理，您可以您自己选择的，因为我是谁知
[46:03.560] 我来介绍。
[46:04.330] 如果您放我这了，我正好5天过去了，我就不放我这，正好咱也没那房东出去。
[46:09.400] 对，介绍已经。
[46:11.310] 不用这没有问题。
[46:13.200] 行，如果要是联系的话，直接拿你明天那电话，等会我还给你发个手机。
[46:19.830] 好好的价格上还有什么疑问的风险吗？价格你就很清楚了，你要说有你说邻居优惠干嘛你说是吧？
[46:28.990] 说林青说可以降价了，可以再降点抓紧，呵呵行行好好。
[46:35.590] 然后放在下班到底喂马，
[46:38.680] 马上麻烦您说回去了，好一点点评一下，做衣服摸着画廊，比如说温州这个地方是吧？
[46:45.430] 环境。
[46:46.810] 好，看看全球流行着你必须得这样了，好。
[46:54.550] 评估的话也
[46:55.600] 很快就可以。
[46:56.710] 很快，要不然你要现在开我就在那里哭，大概半个小时以后我给你打电话告诉那旧车价格就行
[47:02.650] 了，你电脑现在可以看看我的车，然后再倒车过来了，
[47:06.720] 他在手可以把它拆开来看，你现在这样的感觉，
[47:12.640] 你自己找个人来，我待会让你不只能雇了，
[47:15.690] 看一下，然后到时候打电话告诉你价格就行了。
[47:21.390] 可能您回来之后然后好。
[47:23.540] 车一点对。
[47:26.910] 2点儿公车的时候，
[47:30.720] 公车
[47:32.030] 我在门口等点
[47:35.240] 专业离婚。
[47:44.920] 还有
[47:49.670] 把
[47:51.170] 李总也
[47:53.030] 是的，不要聊过。
[47:54.820] 他是想看那些东西。
[47:57.140] 然后整个过程
[47:59.410] 还宣城那边我感觉校长
[48:05.240] 来
[48:08.260] 范冰冰
[48:09.250] 买车
[48:10.210] 拍到这楼后边上来。
[48:12.040] 行，我就在这等着。
[48:18.690] 我让他开了
[48:20.310] 那种
[48:23.130] 一个学生同事
[48:25.780] 老弟给我谁知
[49:51.430] 想想
[49:54.080] 怎么
[50:03.800] 对，您回当地。
[50:12.720] 过。
[50:15.920] 6过6了。
[50:21.850] 不行，我武的从今年年初就不能验车了是吧？
[50:26.800] 北京已经上不了牌了，所以咱卖的都是河流。
[50:37.270] 抵押登记的话是这边您回当地验完车之后，
[50:41.590] 然后我们有工作人员会跟你联系，
[50:45.320] 然后你配合他一下小说，
[50:47.570] 本人去跟他把身份证给他。
[50:49.880] 应该是你忙，
[50:51.990] 对吧？然后
[50:53.560] 但是他就把那绿本去做个抵押就行了，
[50:56.400] 到时候会有人跟你联系，帮你代办。
[51:01.270] 谁知
[51:07.560] 对这抵押率保其他的不。
[51:14.960] 抵押公司担保人没有担保人，是因为你是比如说你女朋友的，
[51:20.920] 他不是申请人吗？那户也落在他名下吗对吧？
[51:24.830] 然后他就是还款人，
[51:27.770] 抵押登记的话，也就是说他把这个车，因为咱们只付了一半的钱吗，
[51:32.910] 然后另外把这车抵押给奔驰金融了，
[51:35.880] 然后等咱们另外一半的尾款还清之后，
[51:40.080] 然后你来我们店里就行了，然后我就把这绿本给你了。
[51:48.730] 对，也就是说这两年别的不需要，然后这两年之内你这车不能买卖，
[51:55.090] 就这意思。
[52:02.590] 你还款
[52:03.620] 调解没问题。
[52:06.730] 可以。
[52:17.950] 你得在这办公。
[52:23.120] 以前办了保险。
[54:49.160] 回老家。
[54:50.480] 因为我在学校工作，然后回到家防你防回家了，
[54:55.790] 回去还得用着，
[55:34.850] 看盘用书面不动。
[55:36.750] 在这沙发对完了。
[55:39.720] 当时买的时候这个车觉得还挺好，
[55:42.170] 现在就发现了
[55:45.040] 时间太了。
[55:46.310] 1.6。
[55:50.010] 不用
[55:51.310] 不用。
[55:53.650] 对因为
[55:55.830] 当时买的时候也没打算买I很强劲。
[55:59.380] 一家用的了。
[56:00.440] 后来买了一会，一直以前我上班的地方就在我住的地方可以
[56:05.720] 要买，那么
[56:08.090] 他说我要跟他一块去
[56:09.690] 干嘛，这个都是爸爸老了。
[56:14.250] 多少钱？
[56:15.810] 说你买了
[56:18.690] 比如说
[56:20.570] 我买的车
[56:22.750] 52户。
[56:24.020] 对，他买了8分你。
[56:34.810] 我这下班。
[56:35.660] 然后双方的他就说一下。
[56:38.350] 对他的话
[56:39.660] 我瞧他
[56:40.730] 想一下，
[56:41.750] 到了这种
[56:46.030] 娇娇
[56:47.560] 100块钱，如果
[56:48.810] 谁知6万多，然后
[56:53.240] 每个月400多640块钱上完将近两
[56:57.890] 年，两年之后年份好像还是100万100万。
[57:01.730] 5年。
[57:02.810] 你两以后的贷款
[57:04.930] 400多块钱也看到，
[57:07.250] 回来其实也很我估计的话2.4左右。
[57:10.600] 然后您这两年一共多少个500万600万？
[57:13.710] 我没有。
[57:14.710] 300多少钱？
[57:16.750] 我300块钱。
[57:17.760] 我来资费快是什么样的，这是的。
[57:24.330] 业绩部分我做起。
[57:26.380] 双方来说山洞
[57:30.130] 要不
[57:37.910] 现在又收一收那个的话，月
[57:40.590] 悦悦陈悦。
[57:48.120] 然后旁边的话就
[57:49.910] 不快乐。
[57:51.330] 说一下这车告诉我
[57:54.370] 能。
[57:56.550] 如果你们走的
[58:12.510] 你说这个事
[58:13.630] 这个是在多少都不一样，
[58:16.620] 也是百分都是50%就是守护童话世界的，只是给还款的方式不一样，我来比这个事情。
[58:22.150] 这肯定是很好。
[59:11.480] 这俩车你
[59:13.440] 这辆车了3万多元，
[59:16.450] 866 300地，
[59:18.590] 3万多人口200多平方米，
[59:21.200] 做了一个
[59:22.720] 座椅加热，
[59:23.880] 做了作业，
[59:27.250] 他怎么都没有钱，还有400多公里的样子，
[59:30.360] 还有医疗记录，
[59:33.910] 360克只有
[59:35.790] 包房这世上有这样也有。
[59:38.200] 有的都有。
[60:17.560] 我再说算了。
[60:19.670] 哪个下去吗？
[60:24.480] 然后明天我这
[60:25.840] 还得给您做一个电话回访，好的。
[60:29.000] 我们下午我们都可以都行是吧？好只能
[60:57.410] 手术在晚上
[60:58.370] 上来。
[60:59.150] OK，
[61:02.940] 资料拿过来。
[61:04.140] 之前来瞎逛。
[61:23.030] 钱是已经取代。
[61:24.850] 对交通水平他出门基本不用，他后面住拍照了，
[61:29.020] 他预计根据自己的牌照了，不用管了。
[61:55.480] 原告爱我。
[61:56.370] 看一下数据材料。
[62:48.080] 完事了咱
[62:49.030] 烧完卡下周还得换，用责任是吧？好行行没事好赶紧弄这慢走那边出口。
[62:57.370] 那点出发早上。
[62:59.060] 好吧，上班的hello电视机。
[63:01.150] 有咱就电话联系。
[63:02.800] 好，赶紧关联饭。
[63:04.690] 拜拜。
[63:35.040] 完美
[63:44.460] 上天刚才客户上去，我说你好，销售最终我陷入名片，你好，我是看什么车？
[63:50.380] 等我接电话。
[63:51.840] 行我先走了，操你妈的门什么在？
[63:57.080] 就让我开会我赶紧走。
[64:02.050] 当时我都慌了，我这流程走这不走，
[64:04.890] 我一边下楼一边问怎么走了一下。
