[00:01.530] 介绍带一下NASA5
[49:45.210] 小米的55寸电视，或者是一个那种没有扇页的风扇，
[49:50.370] 或者是一个蓝牙耳机，这三个选一个基本上就把那钱就冲抵了，说白了您要真是这一年里头被人蹭了，就白拿2500就等着收钱就行了。
[49:59.980] 看要掉头那时候
[50:02.860] 交钱的时候再说，在停车的时候那也行，然后他们交全款的时候就车其它这不那也行。
[50:11.880] 因为我先跟您其实书连这个倒还行，因为这修车就不用担心了。
[50:21.810] 反正不别碰别科是最好。
[50:24.600] 对，因为原来咱们想有剐蹭，可能得需要修保险，就走保险也得上浮的保费，
[50:31.130] 但现在不用担心还能
[50:33.060] 拿到2500。
[50:35.750] 合适的合适，对，这就是担心就是客户10分之后上浮10保费。
[50:42.470] 对
[50:44.310] 对。
[50:51.670] 你们的店还是大，比别的店大。
[50:53.540] 是吧？有哪里展车越多，其实是。
[51:13.420] 定金交多少钱明天交。
[51:19.030] 有微信支付都可以，对都行。
[51:25.020] 晚上回来再。
[51:26.300] 网友没有都不能有权利，楼前里面我说是
[51:30.550] 领导说现在投来直接都捡钱完了，
[51:37.790] 他那收那什么。
[51:39.680] 别的没有，没觉得这再什么就得花钱了就得是吧？
[51:44.020] 您好，你能联系前台，让他们给我们找销售。
[51:47.900] 后天电台互动平台，
[51:52.330]  AMD这有客户看车需要一销售，
[52:01.400] 您登记了吗？刚才您先生？
[52:03.690] 上登记了，不是给我找了，是陈先生是吧？
[52:09.450] 对。
[52:12.680] 对是陈先生。
[52:22.660] 行，您稍等一下，现在因为没有销售了，稍等等，我电话一会给您打电话。
[53:12.040] 都是的。
[53:13.330] 谁知
[53:16.080] 南拳就是先管理，对淋巴已经开着，这尽管
[53:20.430] 多长时间，
[53:22.570] 还有好像现在投入时期一半都是一个月，
[53:26.480] 反正最少是半个月，多的话也就是41个月。
[53:30.400] 了半个月半。
[53:31.270] 一次现在想到上礼拜我这边交车办的都是一个月的01分零8张，能把钱先买先买保险吗？
[53:38.660] 能。
[53:39.220] 因为这车得有保险，得有车才能办出临牌也拿不出来，连得拿什么发票那些手续才能办出来。
[53:46.320] 所以在前期之前都得把这都办齐了。
[53:49.840] 那就睡前是在你们的
[53:51.930] 如果在我们这验车就教我们，因为他这边有一个验车的科技，
[53:57.360] 在教着偷税，
[53:59.790] 75我说话，
[54:09.310] 知道吧？
[54:10.090] 在前年
[54:13.950] 明年在招生的时候，
[54:28.480] 对，没在家。
[54:29.440] 今天上不了。
[54:41.970] 一下就说这两天都。
[54:43.340] 在家应该没什么问题了，
[54:46.010] 你身边我就发现了，
[54:50.470] 我们找一个小房间。
[54:52.180] 那里没人，咱们给王老师。
[54:53.760] 留个电话过来。
[54:55.120] 理论。
[54:59.030] 我还没签署合同，
[55:01.180] 客户一牵手就行了。
[55:02.740] 对，你待会让客户走的时候找一个咱们二维码，
[55:06.470] 然后客户以后至于下次不来给您切的。
[55:09.720] 缺点，
[55:11.000] 我可用的是不是？指标人做的，我们要管的能改就完了，不能不用。
[55:17.410] 丰台把订单确实重建一个
[55:20.090] 大不了的。
[55:24.840] 然后你手机会收到验证码，
[55:35.970] 188
[55:37.120] 1241
[55:46.670] 还
[55:52.170] 要是
[55:53.450] 加装360吨倒车
[55:56.920] 前景的多少钱？
[55:58.800] 我姑店里没有，外面估计也得1万出头。
[56:02.740] 我们店不多对不对？因为那个东西是给垫了，改完电以后就没吃饱
[56:08.970] 了，改完以后就没吃饱了，
[56:11.080] 电路没质保，再一个你知道为什么？
[56:13.980] 他不一定是给你炒的哪个保险丝是吗？他做保险和吗？查好了行茶不好保险盒烧了，我跟你说你成本就高了，所以说就是4S店
[56:24.000] 在这里改我不就是有质保了。
[56:26.830] 4S店应该
[56:28.800] 现在电网不就是脂肪，你知道为什么？
[56:31.370] 他不是这么多钱的事儿，因为这玩意担风险，
[56:34.120] 而且他有的时候会让你的
[56:36.600] 说白了停车电脑他电脑他电路出故障，因为一出故障以后，你上厂家就是我们送的电脑一插，
[56:43.840] 人一出来一赌马，
[56:45.810] 你这不是奔驰了，她一报警厂家都不去保，系统上就报警了，对系统就报警，就它会显示你哪个和有问题。
[56:54.830] 然后你是什么一看不是原厂塑料吗？是。
[56:58.100] 现在你像说完
[56:59.430] 这东西发电，所以我就把4S店给弄到我就那什么了，不是钱的事了。
[57:06.360] 我关键不是我意思问你4S店弄的，我就不个人不是不丹，对不用了。
[57:13.650] 因为电器类的你现在基本买车，你听了
[57:17.440] 大部分的品牌，
[57:19.360] 电器类的概念都不错，
[57:21.670] 因为只有什么？就是说我们认为是终端以下的品牌，
[57:26.580] 感动的
[57:29.160] 然后比方说本田了、丰田了、大众了，这个东西他感动，
[57:33.650] 因为人家老板要利润，到了这个级别以后的话，它都规规矩矩做生意了，有些东西人都不碰，怕麻烦还担风险。
[57:42.130] 谁知
[57:44.520] 答不出来了。
[58:06.890] 你们都出来了。
[58:09.210] 对，注意中州人
[58:11.840] 里面
[58:12.950] 电话
[58:13.760] 6分。
[58:15.000] 能不能快点？
[58:16.770] 这两点你老同桌那些做平车，
[58:21.260] 另外
[58:23.640] 用不了三。
[58:25.120] 再说行行哪个东西？
[58:29.800] 有谁知？
[58:32.890] 是看不到
[58:35.570] 这样
[58:37.630] 你的
[58:40.080] 报了一个特点，
[58:42.000] 觉得
[58:45.370] 你看这支
[58:46.940] 谁知
[58:53.230] 来
[58:57.750] 的
[58:59.600] 要
[59:01.880] 了
[65:33.750] 拿pos机，
[65:36.610] 然后您看一下这个盒子，
[65:42.600] 这是您的信息，待会改成指标。
[65:47.510] 咱们电话你看没错的
[65:51.000] 字有点小，还有格式调整，然后咱们定的是奔驰E260L
[65:56.080] 黑色外观，棕色内饰，车架号就是506204，
[66:00.380] 429,800是指导价，
[66:02.680] 然后现在开票咋是354,800，
[66:07.000] 然后咱们这个是1.60，然后429,800，优惠75,000，
[66:11.680] 然后送了5000的保险，
[66:13.850] 然后有个奔驰金融的分期就没了。
[66:16.230] 如果不是上北京吗就没有优惠这么一个固定的好好，然后交一半现金。
[66:20.790] 然后咱们应该
[66:24.180] 应该周一能叫出，我估计应该周一的价格，因为
[66:27.920] 他那边指标人
[66:29.900] 岁数大了。
[66:31.600] 岁数大了，但他手机操作应该没问题。
[66:35.810] 他孩子什么的
[66:37.460] 孩子都不在。
[66:39.240] 您能垫着他是吧？能介绍的我不想找带头。
[66:42.480] 没事那不行，就
[66:44.780] 我交完钱他就发链接吗？
[66:47.410] 这边我们会给您，您得把材料告诉我们之后，我们的发电机也得需要她的个人信息，
[66:52.760] 我这两天把他那指标给你腾出来，
[66:55.060] 因为车是在老家，他刚才刚拉回来，
[66:58.620] 让我去疼去这车怎么弄准备？
[67:01.860] 他外迁，
[67:03.050] 自己处理，他签到老家迁我老家。
[67:05.730] 能落是吧？当地？
[67:07.590] 对他在弄那就行，别到落不了，落不了的话，他要是这4S店低的话就卖了，对。
[67:14.690] 要不就卖了，要不
[67:16.740] 姥姥可能叫什么？
[67:19.390] 什么？
[67:20.320] 老婆肯定开业，凯悦美元了，
[67:25.510] 用了七八年了。
[67:27.610] 落哪？
[67:29.030] 河南。
[67:31.490] 你问行不行？
[67:33.390] 最好还是问能不能一下，当地看不他问了当地了，能不能了，能做的就那行。
[67:40.620] 像你们这个不是说
[67:41.960] 我现在这个车指标是另外一个人的，但是他要用了他跟我说，所以我就又找了个
[67:48.210] 我说不修，实际上我可能也要想换车8车。
[67:51.700] 要是以我现在这个车，
[67:54.100] 因为现在这个车但不是像这个指标了，
[67:56.800] 什么能置换对他吧就说卖了，然后多于5000补贴的。
[68:02.400] 对这块是吧？就在评估开着车卖多少钱，
[68:05.820] 就看现在平咱们在能评估多少钱，
[68:08.480] 什么车？
[68:09.400] 福特翼搏。
[68:11.240] 李博15 15年1月份的时候，
[68:14.160] 评估一下。
[68:15.600] 这些好像评估看看，
[68:17.250] 看看咱们到底
[68:18.910] 我再别着别人给42,000，
[68:23.040] 二人人网给4万块设备拿着换押，
[68:25.940] 还没想好，还是确定要换一下，所以你看看倍价格差不多，你就在这换，你没必要跑折腾这是吧？
[68:33.700] 但这个车来着说自己名您自己不是我自己女儿，这是别人的名，别人要指标吗？也要指标的，这是另一个人，那个人别人说也是朋友，他说
[68:42.830] 他就想再买个车，
[68:44.800] 我说那行，我说反正我也计划买个车，
[68:47.200] 然后我就找个指标就得了，
[68:50.720] 我就开过来了，开回来了。
[68:53.010] 他在这了。
[68:56.150] 稍等。
[68:58.220] 因为晚上我才给我评估42,000，
[69:00.540] 今天我们到不了那么高，
[69:03.260] 怎么了？
[69:04.920] 我们可能就3万多，然后加上补贴看能不能比他合适，他们加上福建上下差不了太多，已无所谓地说老张
[69:12.200] 你要不然你上班了，这有一个
[69:22.050] 你不用了。
[70:24.350] 自动挡的。
[70:25.670] 工厂风尚自动挡风尚型，
[70:30.800] 15万公里亚洲人的hello，
[70:33.320] 10完工了。
[70:37.570] 我想快点买。
[70:39.170] 能
[71:37.990] 您这一点几？
[71:39.240] 1.51.5的。
[71:42.070] 是吧？
[71:44.850] 什么颜色？
[71:45.560] 白色。
[71:50.670] 15万105,000的。
[71:53.230] 155,000。
[71:56.710] 对。
[72:01.040] 155,000公里没错。
[72:03.020] 跑这么多5年没错，真正
[72:07.760] 我看还没反应，你要不说我没办法。
[72:12.680] 行你看看。
[72:14.300] 看看。
[72:15.820] 看看那的。好。
[72:21.690] 让他给查一下。
[72:23.160] 没事还没看我没说完这怎么跑这么多的，一我这一年跑2万公里，我都是觉得很多的了，因为以前这么多年了，
[72:31.310] 因为我家属他们
[72:33.400] 媳妇他们是廊坊的，没老师河北弄好了，但是因为我住南四环，我来个上班来回就得差不多60公里在家，平常要去哪了，所以我的功率是多，我就这算挺多的了都。
[72:45.750] 咱不是有时候还老跑外地要走了，现在以前在部队，然后在一块对不对？
[72:52.230] 那会儿也不行，现在慢慢的就自己退干啥。
[72:56.050] 不行了。
[72:57.100] 可是这个是谁？这是一房子指标这个
[73:01.700] 你说现在这不就是一一搏的朋友指标，没有以前挂的廊坊指标。
[73:08.120] 摇了9年多9年了。
[73:10.000] 咱们是想把这一模式就卖了。
[73:12.550] 对，然后卖了用另外一个人记得买新车。
[73:16.880] 用另外一个东西。
[73:22.150] 这样我就了还能不能拿到？
[73:25.350] 不用他这边上这双他别的时间电影这里了，
[73:29.960] 一张的身上去了，他说你把当时给我这么说，你把
[73:33.280] 你就是要卖的现在用的指标过户的那个人的身份证，
[73:38.830] 开发票让你拍图片我可以做。
[73:42.160] 不是他们怎么做，这肯定是做什么用操作专人置换，他穿着这个东西。
[73:48.790] 他总问我问问我问问这应该
[73:51.990] 我这要是价格差不多，
[73:54.550] 到哪不是卖，为什么也对。
[73:57.260] 具备到对他们，但是人人车是什么人给凭的，刚才他也问我是他立马收您的书架，还说他给见一名卖4万，然后到时候他利收他不上网，他自己
[74:08.490] 人人车他不会今天平台，他知道他今天看了看了，然后也拍到了，他说
[74:15.520] 他人车有两种，一个是什么？我给你放到网上平台往上要，还有一种就是说我们公司现在就收你这个车，他给前面不给百%的钱了是吧？
[74:26.130] 不是不是
[74:27.470] 这百分之
[74:28.650] 什么70 80是吗？不是全给。
[74:32.020] 他说你今天定下来吗？定下我给你发个定金，
[74:36.580] 然后哪天去咱去交有线钱一打给你不？
[74:40.410] 他说他是陷车，他不是说去，他说你要是交易的话，
[74:44.100] 客户也给你差多少钱，行行，我说再说。
[74:50.590] 行，我说今天上午我去下载它下载什么情况，这还有用
[74:56.980] 再说。
[74:59.010] 行没事，当然行，我拿炮击我给他刷着医院行稍等。
[75:07.050] 场
[75:09.150] 场
[75:11.810] 场
[75:49.330] 数据
[76:02.360] 坏
[76:03.100] 到底
[76:07.750] 数据
[76:10.310] 微信。
[76:12.220] 给你发一下。
[76:16.030] 走
[76:17.890] 场。
[76:33.520] 我晚上还要。
[76:35.660] 是吗？
[76:37.890] 还在这儿。
[76:50.310] 这边跑了。
[76:51.810] 9
[77:04.680] 文章
[77:07.950] 对，你拍个正反面。
[77:18.170] 没事你行，你拍个发给我就行，什么你有居住证吗？
[77:26.030] 我说你有居住证吗？
[77:28.850] 这边。
[77:32.880] 有就行，有热情。
[77:35.000] 有意见。
[77:41.980] 假设站也行，打车也行。
[77:44.700] 等着看就骑车。
[77:46.720] 行邮件。
[77:47.920] 我明天车限行。
[77:51.920] 我看看不行，
[77:54.770] 我看看不行，没有一天他我就把这个车过户了，你过会把车办去车管所弄一下，
[78:00.510] 你车号尾号是多少，看哪些事情。
[78:05.780] 你是6。
[78:07.360] 好，这样。
[78:08.260] 六是哪些？行行太棒了。
[78:11.980] 昨天过去了那就行，那就不算了，这两天我到时候找你。
[78:22.080] 行。
[78:23.470] 行，你回去赶紧回去。
[78:29.590] 行行好勒。
[78:32.030] 行好勒拜拜。
[78:35.150] 是微信稍等他是暂住证，
[78:40.400] 有事有假样就行。
[78:42.610] 有的有舅舅有亲爹行行那就行，那没问题。
[78:48.200] 可能刷两笔。
[78:49.860] 刚才没事吧？
[78:52.050] 两笔什么天津的吗？
[78:55.330] 都是从微信刷出来的是吗？
[78:58.160] 行，都是从微信群里。
[79:03.240] 支付宝也行，就把语文进去就行。
[79:05.900] 因为这两个卡
[79:07.760] 一张口说行。
[79:09.440] 都是您名下的是吧？对。
[79:11.880] 我就输就多微信，这样就不好统计。
[79:16.810] 等会下我得刷一个5000，正好错了，算算说不清楚。
[79:22.200] 你商量个5000，对上两五千算不错，这打了1万。
[79:28.020] 我扫一下您。
[79:31.500] 好，我过去了一个5
[79:45.470] 300多卖300多点儿。
[79:47.600] 60度，其实按照这种计划来说还要300产的要多一点，可能才两点。
[79:54.470] 然后肯定都是写
[79:56.530] 排量小的。
[79:57.640] 其实动力
[79:59.430] 够用，是我施加了一下，我感觉是对
[80:03.450] 他反而设计的挺有意思的，C也是发动机，但是1~2吨就比C量对要有劲儿，就开始感觉我们也近。
[80:12.990] 对我们也挺莫名其妙，因为这个俩车的动力马力是一致的，但不知道为什么要调教的，要是
[80:18.530] 你说一的
[80:20.400] 还沉，其实怕中对，但是开的比C要好的感觉，他调节到玛丽一样吗？一样数据上一样的，所以我们感觉很多时候还是哪有设置，就没有那什么，
[80:31.040] 没有给他公开过来，肯定还是哪里调校自己。
[80:34.110] 可能不公。
[80:35.980] 对。
[80:36.610] 对，我们开始都感觉会不一样，我感觉没有太大的什么厂商，
[80:42.880] 网上是喷喷那些事，
[80:45.490] 咱们好多是在现在用的1.3P
[80:48.970] 就是什么AB其实网上说的会更厉害，因为排量小，但其实买的客户都觉得动力没有问题，都是
[80:56.550] 对我让我看着我感觉我
[80:59.640] 是假的，我这别叫是假的，他不但是他那是四驱的，应该分数的动力还更多，他影响他技术。
[81:07.200] 是吧？
[81:07.510] 对，其实四驱的他这个来说的话会更慢一点，稍微的
[81:12.670] 确实是
[81:14.690] 网上说的太太忙，说的太咸，察布市价自己不知道差评的特别多，我们也都习惯了，是不是？
[81:23.090] 这个东西还得亲身体验，就是说这动力没太大追求，就是让咱后来又不想人家说哪个大又不像人家
[81:31.990] 来个急刹车，你们家住怎么着，我跟他说
[81:36.190] 他们室友顿时感觉
[81:38.170] 不是的，我一是感觉有根部分。
[81:41.550] 了。
[81:42.330] 应该不会有的，因为他这个是
[81:47.260] 酒色便有相。
[81:49.590] 其实这种动作非常小，我觉得他也
[81:53.600] 反映也慢点，然后对而且他比较那什么，
[81:58.700] 它比较平稳一点，
[82:00.880] 把从香遮字在教会百
[82:14.760] 收款人。
[82:15.830] 我这没办法，哎哟不行，您这边合作了，我说了就算了。
[82:20.020] 没事我两次。
[82:21.510] 不错。
[82:27.440] 主要就是贷款，到时候您可能得帮着那谁帮着指标，然后给他操作一下看看。
[82:34.290] 因为他要做一下面部识别，
[82:48.490] 他那真诚的我就是成绩。
[82:51.070] 对，您发文章投，因为我加您微信。
[83:09.160] 然后我回头我把保险给您算一下，到时您看看想要上啥写上。
[83:14.190] 不少时间。
[83:15.870] 钱没啥意思。
[83:18.560] 到天上了，该上了你没必要上倒下去了，
[83:23.190] 盗抢没用，
[83:25.160] 到场不到钱。
[83:26.500] 好像2000多了。
[83:29.080] 估计有个5000差不多够。
[83:31.200] 每天不
[83:32.680] 一个车损一个三者，这可能得上，然后就看剩下的划痕。
[83:37.210] 划痕玻璃涉水的撒娇高尚，不是这家给5000应该差不多了，对也就这样差不多时间5000差不多了。
[83:43.710] 因为盗抢其实是算个大头到小四儿，第二个对第一个车损可能得45，
[83:48.480] 到想一下占了2000多。
[83:50.250] 对，我就复印一下，稍等。
[84:07.200] 一样。
[84:46.190] 到
[84:47.970] 好。
[84:53.110] 大
[85:26.060] 什么？
[85:28.670] 点。
[87:28.320] 不是说
[87:29.220] 能应该是帮我看不到进步吗今天好今天。
[87:33.360] 其实能评估资料吗？我看一下，就是说。
[87:40.760] 你要能给到三万七八，
[87:43.600] 278+5000的话，活着就应该是42,000 43,000差不多。
[87:49.200] 对，但是您多这钱怎么给人家，您到时候再给人家价钱。
[87:52.870] 因为这不是5000补贴，5000是一保险的补贴。
[87:57.180] 反正您家相当于跟可能问的那4万差不多的价格，
[88:01.050] 你怎么清楚您怎么给人家那边。
[88:04.090] 这车。
[88:04.730] 等于不拿到现金应该是3万多。
[88:07.550] 他那5000是从新车里边给它减去了。
[88:10.170] 没事，这车是我自己的。
[88:12.080] 不用那钱就不用那什么不用给别人吗？不是的，我有别人我说不用他自己的。
[88:19.030] 怎么我以为这车等于是您得把钱也得给吧，这车是吗的没事吗？然后我行，那到时候您
[88:28.400] 假如周一咱们来办的话，您就周一把车开过来，我们给您再看一下什么，再细开车，最后去见去确定最终的价格，但是周一的时候
[88:39.160] 在接他评估不了，这点不行，说明您这边会顺路过来吗？明天星期明天两天周四周五是吧？
[88:47.030] 45要看或者周六都行，您看哪天您找思路，您过来我们就特别快。
[88:51.730] 因为这点他们没上班，没说那什么了，您过来我们给人家拍几张照片完事了，然后到时候出最终的价格看车况道，反正和他价格差不多，咱没必要咱别再折腾了。
[89:01.780] 对，因为您这边车这么耽误时间，可能到时候再有个扯皮的时候跟您说4万，就怕你也许可能没什么事，这还有什么，因为
[89:09.710] 咱们这说好钱是有多少钱了，北京店里做就属于越踏实也省事，然后
[89:14.400] 补贴能给您讲的，就到时候您得让他我刚才特意问了一下，您就得让他把。
[89:20.790] 现在凯越。
[89:21.830] 之内要签河南那个没让
[89:25.730] 就那些手续在过户之前我们这边留一下，然后过完户之后我们再留下信息恢复前的身份证。
[89:33.590] 大部分人就大宝新房，对，就说这东西我拍个照片我问他拍，因为刚才跟我说的上，我们拿着扫描一个扫描一下，
[89:43.330] 可能小一点，
[89:45.830] 要照片更好就方便了，我就拍照片了。
[89:48.640] 我就问他姓名，因为有时候可能照片的我的人跑，
[89:51.760] 他在男性我觉得跑过来对，我能问问看能不能拍照片，要容貌能说拍照片最好要不能拍可能就得要，拿过来之后过户前过户都可能吗？
[90:01.770] 行，我说他一朝说他只要
[90:04.340] 只要交易后的
[90:05.820] 跟你
[90:08.640] 都是厚的，因为我刚刚特意问了他等于是前后的什么都对，要前后的。
[90:15.030] 我拿着这照您填写。
[90:17.760] 因为您用的支付宝不是用微信，您填写您姓名身份证号，然后微信名一般就手机号，然后您关联一个您
[90:25.730] 卡号就出去了，您名下的储蓄卡卡号
[90:28.400] 您要不知道全写后4位就行
[90:30.960] 了，然后您下面签个字。
[90:32.520] 我拿不到也能装一下。
[90:34.400] 有什么活动？
[92:08.390] 反正这么着。
[92:09.300] 好了没事没事写一下。
[92:35.190] 对，您再写一下您的身份证在下面，小康还是姓名。
[92:38.700] 对，谢谢您了。
[93:00.630] 班陪派帮派。
[93:02.380] 你昨晚干嘛了？
[93:07.910] 您这行那天冥刑
[93:19.890] 去等着。
[93:21.420] 然后您加我微信，到时候把贷款
[93:25.160] 打了一个比较的东西，
[93:26.820] 然后
[93:30.320] 回头发一张您的身份照片。
[93:33.270] 我在这边别我这边违法。
[93:40.490] 对。
[93:41.680] 张强让我建一个群来，客户这边咱们再说。
[93:46.550] 我就哭了。
[93:54.230] 咱们对征信要求原告。
[93:57.370] 是谁的中心有问题。
[93:59.090] 没问题。
[94:00.740] 还款。
[94:01.950] 包括这房价没有允许过，那就没问题，也没有逾期过那就没事。
[94:06.320] 有。
[94:07.150] 有一段时间。
[94:08.610] 前紧张了
[94:12.210] 点击过支付宝，
[94:14.050] 这些
[94:14.960] 可能是点得多了。
[94:16.380] 超过了了还不。
[94:17.720] 宝没戒备，
[94:19.560] 可能是连续几个。
[94:21.490] 时间点。
[94:22.170] 多了影响，
[94:26.360] 但是欠的其实是支付宝的钱，
[94:30.160] 试点它不是欠钱的问题，点多了说是没有。
[94:35.880] 就征信上面提示借就是借款频率
[94:42.010] 点的多了点。
[94:44.340] 我知道了是，但是没有任何是哪个款没有还或者逾期了。
[94:50.260] 任何没有，好我再问您。
[94:53.650] 应该
[94:54.360] 没什么问题，应该的这张。
[94:56.790] 因为我之前有一个客户也是，但他那什么他给人家办信用卡，
[95:02.560] 看的特别多，
[95:03.720] 我也申请过几次也点不好。
[95:06.770] 一次电话，因为咱们负责工程，有时候钱关键这钱特紧张。
[95:11.390] 关键前台他那是点过好多次，然后最后到也批了。
[95:16.180] 是吧？我就问这个你但是有。
[95:18.400] 有一系列的上一次没有一次应该是没问题。
[95:31.630] 好了吗？
[95:37.610] 没事。
[95:38.400] 玩手机。
[95:39.600] 手机这么复杂。
[95:42.880] 对的，新娘的领导
[95:45.170] 用谁的拿手拿了才，这不是打电脑。
[95:50.870] 谁知
[95:52.800] 他回头
[95:54.160] 联通的
[95:55.550] 练过放下。
[95:58.670] 好。
[96:11.880] 数据场、
[96:13.760] 场、
[96:15.800] 数据
[96:17.080] 坏、
[96:18.070] 花花、
[96:21.610] 数据
[96:23.410] 的
[96:27.050] 花。
[96:55.680] 来。
[96:58.470] 三
[97:15.970] 应该是没问题，但是还是先提前您看一下，因为说您要是没有逾期的话，他不至于说没有依据了。
[97:21.980] 顶多可能是需要您可能。
[97:23.680] 需要达到材料有可能，但也没有没事不是。
[97:26.230] 不行那就到时用完了，到时候看不行。
[97:29.650] 应该没问题。
[97:30.890] 应该是没问题，一般都是。
[97:32.640] 然后。
[97:34.030] 咱们是刷卡，然后给收据就1万元收据板块。
[97:38.600] 不会给。
[97:40.470] 不能拿指标随时过来吗？
[97:42.740] 它是理赔就可以支付了。
[97:44.280] 里边因为指标在盘面里边进行。
[97:47.050] 对，但是我这边我回头我看一下，因为正常要给您放车的话，我这边您办完手续之后，然后银行会给做一个放款。
[97:56.020] 做了放款之后。
[97:57.110] 您才能再把。
[97:58.450] 车开走一般是一个工作日，但是如果。
[98:01.510] 反正最man的那一个周二提车，
[98:04.330] 就周一来办手的，最早的周二开始走街串巷，
[98:06.990] 周有可能当天回去能开I正好是客户有一个问题，
[98:11.130] 当时该申请那种就月份在支付宝银行有申请，谁知过去支付宝和信用卡是吗？是您报对同步。
[98:19.780] 您在冥想其他负债吗？
[98:21.610] 您现在名下有其他负债房贷了。
[98:25.260] 月供大概多少钱？2000多块钱2000多有没有？没事，不是身份的，不是身份证号。
[98:33.190] 是另外一次他当时拿到结婚证。
[98:36.110] 卡是结婚证的号不是没关系，等于您是申请过信用卡比较多是吗？
[98:42.770] 对之前申请过，还有戒备什么，我一查人家说了超过多少次机制影响征信。
[98:48.980] 但是他没有任何我的任何逾期没有过，包括信用卡逾期都没有，您还在用吗？现在信用卡？
[98:54.930] 再用就每月您大概能刷多少钱？
[98:57.770] 没有什么套现的什么正常的日常生活的消费这些是吧？然后就每月。
[99:05.130] 该到账单还款就还款，该还款日还款那正常是没什么影响，没有信用卡没有逾期过，您只要别说拿着中长款左卡槽就卡这种。
[99:14.610] 我是去年查过记录。
[99:17.330] 让消卡应该几年前逾期过几天没事。
[99:22.180] 你主公没事儿。
[99:24.970] 如果不行，我的武器就拿我爱人。
[99:28.720] 他没有任何其他的内容，但是您夫人这女士您这边现在有其他的收入来源吗？您在不在职吗？
[99:36.190] 对没有。
[99:37.520] 有其他的收入来源。
[99:39.890] 只能用您来申请。
[99:42.800] 因为我们上传到系统的时候，它系统也得填一个当前的收入来源，
[99:49.680] 填一个工作单位名称，所以说您夫人要是
[99:52.680] 我早就不想让他会问
[99:56.150] 您社保假如不在这了，他会问您，比如说您提供一个A公司
[100:01.530] 会给您打电话问您您这公司经营什么业务，您在这公司里担任什么职务，可能大概一个月挣多少钱，您公司这办公地现在。
[100:11.350] 那会问这些问的挺详细的，都好说，对，这个倒是。
[100:16.370] 人要把真实能答得上来就能当上，对那没问题。
[100:21.240] 反正不行，用他的也行，那开证明没事。
[100:24.320] 反正您想好了要给凝聚了的话，这标可能
[100:29.190] 不太好弄，要在贷款。
[100:31.200] 因为这种记录了我俩人还两回事，我都要不起用他们。
[100:36.720] 他是这样，比如说您先用的指标，这指标我第一回给您提上去了，但因为某种原因给拒了。
[100:43.810] 我第二天第二回我再用他的指标题的话，奔驰金融就会问
[100:48.970] 了，你要明白他到时候还真有，他就会问担保人，比如说您二位，因为短时间内您想提供短时间内提交两回，这一个指标人的申请肯定是
[100:58.770] 不是特别符合实际的，他就会问了这两个担保人有什么关系，
[101:02.990] 他会有这种依据，我们因为实际上他的意思其实
[101:08.080] 为了案件集合行吗？反正您看您这边您就得想好了，您开一家公司您得都知根知底。
[101:15.370] 这个节点对，别问的时候您就支支吾吾的了，没事，有的把什么都广告东西那就不好了。
[101:23.230] 然后你这流水里边，您平常有银行流水什么之类的？
[101:28.150] 流水张有大额的。
[101:30.080] 已经也就是说我其他的账来的一年有个几次转到他账户，然后可能有女士这边的政府，因为咱们的转接转他账户里了，好。
[101:38.270] 您看看反正我什么情况我跟您说清楚了，您只要说通这公司，如果您确保知根知底，
[101:44.550] 问的话什么都能答得上来。
[101:46.710] 都没了。
[101:49.750] 他一年之内有时候有个人。
[101:52.410] 六七十万50万的大儿子，您现在上了社保，
[101:58.120] 你们当时第一个月因为告诉我一下，
[102:02.360] 已经期间未来继续把罗娜户口
[102:08.450] 您已经是完成了吗？户口在公安局系统里边已经给您了，强调了是吧？
[102:16.250] 等于新的身份证下来了是吧？
[102:17.880] 身份证我还没去办，但是户口下来
[102:21.120] 我是集体户口，等于您新的身份证还没下来，对。
[102:24.910] 不行，您用老的身份证跟您后边的公安局系统是对不上的。
[102:30.770] 好。
[102:32.620] 等身份证号一样不都一样吗？不是在您户口上地址不一样。
[102:39.000] 您户口所在地不一样吗？您跟公安局联网核查的信息都对不上了。
[102:43.400] 他就只是刚把户口页户口都过去。
[102:45.660] 您必须得拿新身份证。
[102:49.080] 因为到时候我们系统你得给您填什么身份证有效期什么的，都得917是正常的。
[102:55.450] 他是说看那个地址和你现在公安局所在地址都不一样，应该系统差距没那么快。
[103:01.750] 你让公安局办事应该是即时生效，但是新身份证可能肯定办不下来了。
[103:07.460] 学生现在一直没去办。
[103:09.950] 半年了。
[103:11.460] 赶紧那肯定不行。
[103:13.970] 对。
[103:18.560] 我给您提上去，他一查后来对不上，他也得给我们反馈，让您补充新的损失。
[103:23.710] 其实这个有点顾客，
[103:25.690] 因为有效期内酯身份证号一样，劝他的芯片里边的信息是一样的，但是您要办了，其实说实话这身份证就失效了，没有。
[103:36.260] 我如果重新办身份证，新的身份证的话，我老婆是作废的。
[103:41.520] 因为我自己在这座身份证，所以我就知道他以前在关系是这样的，您要是分期这边的话肯定不平，联网核查就核查不过去。
[103:50.760] 您户口所在地对不上。
[103:52.680] 怎么着？
[103:57.080] 他用先生。
[103:59.860] 他无非就是先任何女士往下这情况进行，其实没事吗？没有过逾期您申请过多少个信用卡最近？
[104:08.070] 因为我应该是什么样，应该是去年今年申请过半年。
[104:12.780] 今年有一段时间你说搞工程的有个钱紧张了，你在里面，
