[00:00.430] 2020年
[45:27.380] 我就在车上并不是在这个位置，不是在这个时候，在这几个店待着还得交钱。
[45:36.810] 两条人家刚才他说1200，现在应该是
[45:43.030] 多上120，
[45:45.650] 前1000块给拆了。
[45:51.960] 我都给你算一个，你现在开一下，
[45:55.400] 别说别的有问题，有没收获就完了。
[45:59.510] 打击。
[46:07.930] 场
[46:10.390] 数据
[46:14.600] 实名认证已经过了短信您看一下提报您了，刚才
[46:23.860] 我今天激活，明天正式启用。
[46:27.440] 明天您再打开软件看一眼，您那个数据就全部重复在您的手机上了。
[46:38.390] 您坐耽误您几分钟再。
[46:40.890] 这个是车的三包，涉及咱们车辆质保，第一个就是别丢，首先
[46:45.730] 这台车178075，咱们的制造日期是1月份，开票正式是在8月1，
[46:51.660] 至宝三年不计里程，从开票今天8月1开始算质保，期内好
[46:58.170] 放
[46:59.060] 质保期是从8月一开始算，三年内这个车不管您开多少公里，
[47:04.580] 这些大件出现质量问题的话全是管的，
[47:08.140] 每一个易损件后边都有对应天数公里处的条件限制，
[47:12.170] 说这个定义条件对应的易损件不在质保，这是原件您自己带走。
[47:16.900] 还有一个是
[47:19.650] 每台车再卖，您之前店里会有一个整车质检达到一个交付标准，
[47:24.500] 这台车是13号重新做了一个质检，
[47:27.970] 没有问题交付给您，这是眼见您也拿走，好。
[47:31.180] 他被人家重新做了一个车间，就到中国，不是这个车，不管是进口还是国产，在店内超过7天就要重新做质检。
[47:41.230] 这个是敲到张海拿好，对，代表我给您做点事情的时候没有问题。
[47:47.820] 他就算国舅送国产的，您到店里交付之前时间长了都会做质检，对，因为要保证您交付的一个质量，这是一个复印件，您帮我签个字，这。
[48:04.900] 这有一个车辆交接单，外观那是整年，
[48:08.460] 回头的发票、关单保险全都在国梁，
[48:12.120] 一会他给您办个临牌，带您去车间取车，两把钥匙给你搁在一起了，还有您那小平板，我给你搁在后边后备箱纸袋里了。
[48:19.590] 功能讲过了，
[48:21.430] 电话给您留了，微信您加我美滋滋是您是吗？行，我待会给你改个名字，要是对不上。
[48:27.760] 后期用车有问题打给我，保养的手册在车内，密互联是刚才下的二位的手机客户端，
[48:33.600] 没有备胎，随之工地、三脚架、急救包，原车自带灭火器，车间有人给你装上，
[48:39.260] 注意事项告知您了，救援还跟以前一样，N设点MEN件，
[48:44.690] 保养了一年1万公里，售后厅南侧一层来之前打您三包这个电话，587349盖了公章了，
[48:52.560] 后期用车哪有问题随时沟通着来帮您签名了。
[48:59.530] 之前开了吗？
[49:00.940] 对OK，对这句话
[49:02.960] 本人已充分了解，以上所有条款确认无误，本人到确认无误，您抄在横线后面签名。
[49:11.340] 本人已确认无误，
[49:13.080] 本人已充分了解以上所有条款确认无误。
[49:18.920] 我铃设置一是二
[49:21.410] 6
[49:22.380] PLE53
[49:29.540] 验车的那些手续发票跟单后期再您验完车以后，
[49:34.720] 原件会一次性不良交付给您，前期我们办临牌交税这些都会用。
[49:41.270] 我这儿就没事了，您这稍等几分钟，这是我们售后客售后的同事跟您身边售后的服务，
[49:48.290] 待会让胡良过来找您，让他给您发个参见，您一会
[49:52.960] 玩着玩是去吃口饭好吧？他临牌。
[49:57.180] 他能半个多小时，对12:30才能开始办，待会让他过来完事找您就行了，快了现在12点二九点马上我这儿就没事了。
[50:05.800] 您二位微信我加您了，后期应说有什么问题您随时联系我，好，谢谢您，感谢杰克您
[50:11.530] 咱家老车主了，所以说我这边的内容会比较简单，保养的话不需要跟您多说了，您就记住了一年或者1万公里回来就可以了，这两个还是以哪个先到以为准。
[50:23.450] 我今天着重要跟您提的就是咱们一个保修的事儿，从19年4月份开始，奔驰厂家给了一个最新的政策，
[50:30.260] 您原有的质保期不是三年吗？也就是说在三年内这车出现了所有的这种质量问题，
[50:35.930] 回来都是由奔驰来承保，直接都索赔，不需要您自己花钱的，当然现在奔驰也是为了答谢您，又重构我们的奔驰。
