[00:00.090] 李露过来办手续。
[72:14.990] 叫一克两馆的一个二维码，里面会有一个售后，还有一个客服的。
[72:23.110] 车辆有任何市场使用过程中都什么问题在那里头说就行了。
[72:27.000] 这是第一。第二还给你一个AMD，车主俱乐部的
[72:30.680] TMD出口俱乐部的厂家的这了，
[72:35.000] 没钱。
[72:37.780] 的。
[72:54.670] 的对。
[73:01.920] 对。
[73:02.930] 对。
[73:11.140] 对
[73:15.350] 的。
[73:19.470] 的
[73:28.310] 密码
[73:36.960] 先开票吗？
[73:39.330] 前两天开的。
[73:41.470] 一次在一块吗？
[73:42.420] 对，来个亿，来您省事我也省事。
[73:46.710] 都省一个月都不允许。
[73:49.920] 一个月行吗？
[73:51.430] 10天过了7:30。
[73:53.430] 前行15 15，昨天收了快乐。
[73:57.470] 没了。
[73:58.560] 刚听说过谁那不是那吗？谁？
[74:06.300] 德国人吗？你停下车的时候他刚从你车后面走的。
[74:10.720] 那男的。
[74:12.050] 年轻男的。
[74:14.570] 不是德国人，
[74:16.240] 知道吧？
[74:19.600] 当然中国的妈妈
[74:22.350] 刘女士，
[74:24.800] 1318910086115。
[74:28.600] 您好。
[74:29.850] 你听见吗？
[74:32.320] 下午把你号呆了，
[74:39.220] 怎么婚姻？
[74:40.510] 要选的。
[74:45.150] 去还不签来做脸拍照，对跳到马上给我，我先开按一礼拜再说。
[74:51.510] 我给你看看可以了。
[74:55.560] 能不能一起
[74:57.400] 你跟工具说是不过去给你说话，你过去说完了说，
[75:02.060] 因为什么就这么了。
[75:07.000] 等等。
[75:08.460] 你说
[75:28.120] 行不行
[75:39.440] 了？
[75:56.360] 行不行我不？
[75:58.270] 不行？
[76:03.070] 什么东西？
[76:10.390] 行，你看电视。
[76:12.820] 了。
[76:16.450] 我这忙着我就挂了，再见。
[76:23.520] 这样
[76:26.850] 咱们验收
[76:33.430] 身份证你拿走了。
[76:35.260] 给我留着。
[76:36.590] 这么快。
[76:38.150] 这么快吗？
[76:40.480] 我跟你说你问问他，只要我来了，这设备就是好的，
[76:46.880] 谁来不好，我不好的我都能给办了，是你不好你这样盯着我给你办实编也得给你。
[76:54.380] 很人。
[76:56.200] 好吧？
[77:04.430] 我一会到门口我给你讲。
[77:17.200] 你不紧张，这本身就到闲聊着听了今天说一下，
[77:21.300] 所以就来新街口为国家为了平台就完了。
[77:25.870] 这些西装革履
[77:27.980] 东西了。
[77:29.370] 能过吗？
[77:31.150] 可以了。
[77:32.670] 你在什么单位上班？
[77:37.520] 去哪个店？
[77:41.260] 我昨天我的号中央电视台的
[77:46.680] 哪个节目我每个节目都不错，我刚跟你说过吗？你不做节目那你是干嘛？
[77:52.420] 节目是这很专业的一种活，就是落地，你怎么能看到这节目呢？
[77:58.920] 你在那里管什么技术拿来看看，
[78:02.660] 你不就晚上上网信往天上发吗？还有网络，你是管县管下来的还是晚上去吧？
[78:11.690] 那厉害吗？没有，有啥事有啥列？
[78:16.820] 选谁看电视，这是最关键，我弟天天在家看电视，就是小孩现在老同志开始在家看电视，别看电视
[78:24.530] 都看手机都忙了，根本不敢说这C意思手机就看那些东西都因是我睡觉之前
[78:32.120] 看视频吗？
[78:35.520] 过去去。
[78:37.280] 你觉得没什么。
[78:39.800] 面试的。
[78:41.240] 明天的。
[78:53.080] 后天钱才后天前台。
[78:58.160] 新车
[78:59.850] 112991。
[79:05.210] 对。
[79:12.450] 你的车牌号？
[79:14.680] 津Q nb7。
[79:16.890] 这个怎么不就。
[79:19.010] 你怎么名牌进来的？
[79:21.640] 这就是金牌是吧？
[79:24.840] 好了吗火箭平台。
[79:30.110] 然后还有一个是经C勾Q
[79:33.500] 89 60旁。
[79:37.080] 原箱卖。
[79:39.840] 州金沙、
[79:41.400] 倒卖就是拉到底就掉头停车，说就特别挺简单，行行。
[79:50.480] 过来肯定给同事打电话吗？
[79:52.670] 可以，咱发车下班。
[79:54.860] 在哪一块？
[79:55.840] 眉形补偿怎么客户？
[79:59.560] 数据、
[80:04.140] 场
[80:08.850] 场
[80:09.670] 场。
[80:16.570] 创业
[80:19.790] 出
[80:20.560] 场
[80:26.780] 没事一会这就了。
[80:29.210] 拿一下我那车正要不然我下不去地库，我们
[80:34.480] 放。
[80:37.950] 行行走走。
[80:41.130] 给上了给我政策。
[80:45.680] 滤纸。
[80:47.630] 把前面塑料的什么
[81:10.450] 这口锅才上班的，挣那么多钱，
[81:14.020] 钥匙在你那的是吧？上面装上了，
[81:17.300] 他直接走你上车
[81:20.200] 你上车我就是你再有什么
[81:22.380] 看一眼有没有什么
[81:26.470] 你说他应该把车开过来看你首架，
[81:29.880] 说对你这么
[81:31.120] 群众的
[81:45.940] 是放声大的，
[81:49.270] 为什么通过的只有本事这里头的
[81:52.400] 我没有的。
[81:53.720] 驾照在那里。
[81:56.190] 拿着我给拿上驾照了。
[81:58.210] 在九叩礼是吧？我方便去了。
[82:01.990] 什么？
[82:05.490] 你是不是那车不开？
[82:08.010] 把那车都弄完出门了，
[82:09.990] 出门的时候给他报了新车的车架号就行。
[82:12.960] 之前
[82:14.390] 后面有112991，
[82:21.790] 看看有没有不知道咋用的了。
[82:25.970] 搁上面没有搁下面的，
[82:28.370] 安全带搁肩上，
[82:30.670] 我一直这么说就不买。
[82:33.290] 不难受，为了安全这块糊涂是非常结实的，你都这儿的话那东西都了，
[82:39.830] 该进去的时候注意安全，我这个也是安全之前干过安全试驾工程师，
[82:45.150] 开过赛车，
[82:46.830] 那也是注意的。
[82:50.100] 先走。
[82:51.100] 行，赶紧。
[82:52.310] 首先没有电了，没事你跟着他走了。
[82:55.160] 我说这跟谁打电话慢点开，别着急。
[82:58.760] 你说我们你怎么走？
[83:01.230] 你很难吗？
[83:02.360] 不是，我在我不知道你看你从哪条道我就不管了。
[83:06.030] 路上注意安全，然后你有啥事给我打电话。
[83:10.450] 然后这台车往里开的时候，出门直接就抱灵牌就行了，我也给你弄好了，行行好这么着没事应该的。
[83:20.280] 你要什么？
[83:25.570] 我要去金门打电话。
[83:27.400] 没事
[83:28.450] 了。
[83:40.840] 坏。
[83:42.530] 上面。
[83:53.450] Bye bye。
[85:09.330] 场。
[85:12.480] 的
[85:31.050] 号。
[85:36.290] 二
[85:43.830] 来。
[85:47.910] 我先画一个。
[86:04.800] 天助是吧？
[87:36.450] 三
[88:06.000] 哪有25,800没有。
[88:16.810] 您要这样，
[88:19.230] 一天一天跟我说，
[88:21.320] 最好是头天上午说这样，
[88:24.590] 我能先
[88:26.080] 预约的能签约
[88:28.750] 就好办。
