[00:00.000] 转型。
[38:05.660] 公众号能找到吧？
[38:07.470] 如果有活动什么的，您可以直接您创建一下。
[38:14.210] 大符号吗？
[38:19.520] 欢迎。
[38:24.160] 您留下，您手机号是您用测试您留下，谁知
[38:30.270] 8101010108919。
[38:34.320] 8912。
[38:37.000] 这样
[38:43.770] 还好。
[38:50.230] 阿姨，
[38:51.560] 上海
[38:54.920] 再看看别人。
[39:00.980] 您现在管
[39:03.170] 故宫也特别
[39:05.880] 绝对不能强买强卖，对。
[39:11.270] 有点互相交流。
[39:12.800] 对，您像闷沉您做贷款没有手续费，其他你们应该说还说一样。
[39:18.240] 对，没有人限制你。
[39:21.870] 然后我这基本也就完事了，需要您签几个字。
[39:26.170] 这个是三包的复印件，原件刚才解释一边再说。
[39:30.770] 原件的第一页这一个红章587349是咱们的售后电话，提前来用，预约保养的话提前打电话通知写
[39:40.030] 了，您先用车对吧？留给厂家报备，对。
[39:50.720] 你不要把我
[39:52.160] 给完了把
[39:54.510] 给
[39:59.080] 这个是车辆的一个交接明细单，我们给您做个解释。
[40:04.410] 首先这台车包括咱们外观内饰整洁都没问题，您车辆的发票包括合格证的原件，还有保险都会在张伟，这些原件什么时候给我们验完车当天回来，前轮地上有了，那边一块交什么？
[40:18.870] 要是200给您试过了，功能讲完了，
[40:23.260] 后期用车哪有问题打给我，电话给他留好了，微信也加完了。
[40:27.820] 三包期内防守做车内互联，是刚才他刚下的手机软件已经完事儿了，
[40:33.890] 开车对没有备胎和随车工具，三脚架，急救包援助自带，
[40:38.800] 新车注意事项告知您了，道路救援记住车顶上靠副驾那边拿M一件都OK，
[40:46.350] 保养1万公里，售后这个工作不用了。
[40:50.150] 您签了
[40:51.980] 吗？
[40:58.470] 的男子说
[41:01.050] 倒数第二行这一行小字特别小，本人已充分了解以上所有条款确认无误后，本人就是服务稍等红线，
[41:09.710] 他们讲的还是比较细的。
[41:14.570] 您给他反对您这首钢矿山滨东市是试想想小西门东边不是山上搬东西楼，这个地址实际上是首钢
[41:29.030] 一个外边一个分公司的地方，
[41:33.960] 原来
[41:35.900] 行车证上的电视没啥不知道，现在。
[41:39.280] 就跟我那客户是的，他天津身份证地址，但实际上他们那个工厂是在河北
[41:45.830] 的。
[41:51.290] 我以为是在首钢现在新开公园对面，澳洲也地面上。
[41:56.520] 也不是的。
[41:59.130] 开馆后边签字，谁知
[42:02.990] 然后您这儿稍微
[42:05.540] 等会儿他让您办临牌，一会儿我们还有一个售后的同事会过来找您，说一下具体售后的服务，
[42:12.130] 完事一会咱明天就直接走了。
[42:15.370] 水有饮料，咖啡茶水需要什么自己点的可以跟过去。
[42:21.190] 完了有一个什么单独的根本的
[42:24.040] 最后上完牌之后，那些所有东西都给了
[42:28.050] 行驶本有叶文车队，
[42:30.980] 保险的话是选择厂发进去的东西。
[42:34.030] 保险
[42:36.250] 今天怎么看，审完了都已经。
[42:39.040] 反正这票也就是现在开出去就是带保险了吗？对再保险的保险费一样，两块钱不敢让您考虑，现在即时生效了，但是即使得生效了，
[42:50.610] 你不能笑开出去，对两点就已经生效了，万一又在网上碰到了。
[43:00.280] 孩子临时牌，然后
[43:02.800] 什么时候验车都通知你的吃你们吃。
[43:07.880] 你们周末能办这些，周末办不了，因为周末他。
