[00:00.790] 接待首次李女士看C
[44:36.750] 他是部分有效，如果比如说你还要你卡号，你去看看怎么着，在每个
[44:41.700] 品牌的前台都有，
[44:43.440] 如果说直接就走了，直接扫这一条就行了，知道了。
[44:49.130] 你帮我送过来。
[44:50.710] 肯定。
[44:52.730] 用微信吗？微信发微信反映。
[45:13.690] 是的，他给交吗？
[45:15.470] 对，确实忙都可以。
[45:20.330] 出门他会不会
[45:22.110] 我们知道的话可以联系。
[45:24.200] 行，感谢邦林班总。
[45:33.270] 别了吗？
[45:34.860] 你觉得几点？
[45:37.310] 没有，我还没开等会。
[45:40.970] 玩。
[45:42.640] 我掀开
[45:43.990] 你别看你捣什么乱，是你捣乱还是我捣乱，我先是怎么。
[45:49.140] 盐你是了吗？
[45:51.270] 是没事。
[45:57.230] 别10分到10分。
[45:59.240] 型号十分开始吗？再等等。
[46:02.490] 不听你的，我就本身我也十分开始了，你回来快了，
[46:08.900] 我发现一个技巧，你想知道吗？
[46:12.290] 你每次开的时候不是有时候会。
[46:15.070] 我开了几点开的了吗？
[46:17.160] 是吧？
[46:18.040] 你波到顶，
[46:19.480] 那个时间是比你开的时间。
[46:21.960] 晚一分。
[46:23.330] 方便。
[46:24.120] 我才知道。
[46:25.360] 我知道。
[46:27.630] 根据0 82.08，
[46:30.230] 12:08 12.28您看能。
[46:33.340] 12.2. 
[46:34.040] 28开我也不过20分钟。
[46:36.810] 的。
[46:38.150] 你拍
[46:40.400] 505，然后25，我开25~45正好。
[46:45.950] 你再等一会。
[46:47.810] 我想想8080。
[46:50.520] 可以开。
[46:51.740] 2628.5是2。
[46:53.410] 5我接25。
[46:54.610] 我家20 400。
[46:55.660] 行。
[47:09.430] 完了
[47:16.080] 谁知
[47:18.650] 45。
[47:23.810] 你是吧表扬了是吧？
[47:26.540] 咋没教养了吗？
[47:48.960] 你把转给客户，然后用他上回咱们就是登记看车手机号，就是做礼品的合同上手机号，
[47:56.400] 然后上面登录，然后领一下礼品，
[48:00.410] 应该是一种作用，让你们发扬的话应该做什么？
