[00:00.260] 二次客户交车
[60:38.240] 什么银行我签字，
[60:41.600] 在他说有要求的对吧？然后中间
[60:45.950] 然后一下我们先到了
[60:48.420] 有三天了，那边没有一点儿的一小三县，
[60:53.090] 身旁装点过来玩3000O然后be了一下就走了。
[61:03.850] 这样的
[61:04.590] 后面的订单处理。
[61:07.510] 对，然后公平点公平了。
[61:12.160] 着眼过了
[61:13.820] 专业。
[61:15.610] 然后点了点什么电话，为什么我电脑拿掉相比点位，
[61:21.800] 我天哪。
[61:25.160] 手机的。
[61:28.120] 我没找着。
[61:35.690] 没有电脑我稍后给你送过来了。
[61:38.080] 不管了，我不会让她来查一下你那店铺有人送，没有电脑不用。
[61:44.090] 晚上在哪系统看一下，没事。
[61:47.110] 好，又来了。
[61:49.160] 然后我们沟通一下。
[61:52.720] 他那有回执的你稍微等一下。
[61:55.830] 给他点水果，他那也是工行。
[61:59.070] 样子不应该时时到8工程，我给他打。
[62:04.590] 不过。
[62:54.550] 你直接在我在用一下。
[62:57.650] 先选择。
[62:58.930] 了。
[63:01.690] 我这一数据完了吗？
[63:03.040] 知道了。
[63:47.310] 谁知。
[63:49.090] 错了，为什么你这是今天是方便吗？
[63:53.870] 体验我在下面
[64:26.000] 写这个书他直接给你就行。
[64:28.210] 然后你看看
[64:30.060] 这是开张
[64:57.480] 现场。
[65:00.300] 数据。
[65:41.860] 你再问问他倒没。
[65:44.840] 因为我看见他那回单
[66:10.240] OTR做什么？
[66:12.140] 作为赠送保险就行吗？
[66:14.360] 没保险，
[66:16.290] 有一个叫做
[66:19.750] 你昨天是不是这个问题？
[66:21.450] 你不学。
[66:22.710] 不学。
[66:25.680] 脑子不好使，真的。
[66:29.040] 我赠送的精品
[66:33.110] 早晨
[66:34.310] 打0工。
[66:38.880] 的。
[66:41.640] 的。
[66:49.080] 的。
[66:53.290] 这样。
[67:07.720] 做好了，
[67:08.800] 到今年我怕那个钱出来了。
[67:12.910] 你能拿钱。
[67:14.980] 因为我看你回单是没问题的。
[67:17.080] 公司最重要的一个人。
[67:18.600] 我刚才我不能说
[67:20.400] 这样
[67:21.440] 还在这回好了，
[67:26.060] 到
[67:51.280] 谁知
[67:52.890] 第一了吧。
[68:12.000] 这边
[68:13.110] 我相信。
[68:16.200] 的
[68:17.050] 三。
[68:19.130] 二。
[68:31.850] 我问了还没有开始暂不。
[68:35.310] 可能
[68:36.340] 谁管这个？
[68:38.960] 他这都出回单了。
[68:43.160] 看一下他那个名字。
[68:45.180] 全称账号不对，他之前打过一次的浪漫。
[68:50.430] 说着北京我
[68:54.470] 北京卓于
[68:56.190] 谁知
[69:00.350] 应该错不了。
[69:02.040] 谁知
[69:04.840] 投资合同
[69:07.810] 你什么没什么。
[69:22.760] 没问题
[69:24.260] 没问题。
[69:26.230] 我说
[69:27.470] 这个应该错错不了了，这一会0202812
[69:34.200] 1900
[69:36.660] 47547863。
[69:40.350] 稍微等一下等等一下。
[69:43.410] 能开票2500开专票。
[69:47.030] 行。
[70:07.110] 你拍一下。
[70:08.360] 直接你把给我转的什么？
[70:11.780] 点危险。
[70:12.920] 你就接拍就行了，可能直接转了。
[70:19.340] 别怕。
[70:21.360] 不知道的信息。
[70:30.520] 这块。
[70:39.120] 发挥了。
[70:42.440] 应该开了。
[70:43.940] 开过票的。
[70:45.340] 我们这还没开过。
[70:47.520] 咱们这买过车吗？
[70:50.460] 他跟他部门的不是他的每个电和煤电不一样。
[71:32.730] 没问题就
[71:33.920] 谁知
[71:35.100] 我一个人来
[71:36.660] 满足
[71:38.300] 那就可以开张，票里面得多少税，
[71:42.180] 应该是
[71:48.650] 惰性。
[71:49.650] 我把全称发给了是不是？因为我发了个简称它
[71:53.880] 看不出来我把
[72:02.480] 任何时候有点撑。
[72:05.000] 对，那5万的时候就是简称。
[72:13.110] 了。
[72:16.820] 然后开心讲解问题。
[72:21.520] 说。
[72:46.530] 能讲了吗？
[72:48.200] 什么时候完事？
[72:52.310] 行吧？
[72:55.390] 稍微等会他给别人写完了给咱讲。
[72:58.680] 提别的出来。
[73:04.080] 他这儿开发票，我这边出完保险，
[73:07.520] 本林茶的事儿
[73:09.470] 不知道。
[73:12.020] 三
[73:22.070] 这三字品牌。
[73:24.530] 的。
[73:25.410] 正常行驶是7天，因为现在疫情谁也说不好以后
[73:28.840] 怎么变？
[73:30.320] 给你们一份。
[73:33.600] 刚刚咱们签字的。
[73:54.990] 兵马。
[73:55.990] 要重新搞金融。
[73:58.650] 就卖了吗？
[74:00.890] 反正等他们给我容易找代理意见。
[74:35.630] 发票。
[74:36.790] 发票又得一会。
[74:39.600] 他把得放，我因为上牌什么的要用。
[74:43.960] 最后手机上面谁知
[74:51.290] 现在是等到啥？
[74:52.920] 等着那钱。
[74:53.910] 还没找着
[74:55.510] 的。
[74:59.490] 他不知道差不多。
[75:02.900] 应该差不多。
[75:26.790] 出事以后
[75:27.780] 出了，这都是工行应该快
[75:31.120] 用，
[75:32.580] 又都是本地的。
[75:45.530] 卡里没钱了。
[75:47.510] 之前他出来回答出来了之前
[75:53.050] 咱们时候
[75:54.430] 去除非那种然后是
[75:57.240] 钱是几万块钱。
[75:59.620] 商场上不了。
[76:03.860] 你说了他就是财务的。
[76:07.470] 然后之后啥？
[76:10.510] 那样就是说售人员就鄙视了，
[76:14.220] 说你卡里没钱就问了句，对给我找我把卡上好几个意思吧，他们没钱。
[76:21.590] 对。
[76:27.310] 然后哥们给打。
[76:31.690] 政府
[76:37.870] 那时候怎么说？
[76:42.280] 你们全权打的就是全部。
[76:48.550] 你再核对一下，一会把那个名称
[76:52.080] 刚兑。
[76:53.990] 有没有打过来？
[76:56.630] 对。
[76:59.900] 今天我也可以这么说。
[77:02.240] 对开
[77:06.550] 也错不了。
[77:08.220] 这么说，
[77:09.430] 谁知
[77:10.840] 谁知。
[77:12.510] 我南方对方丰富，
[77:20.440] 刚好也核对了。
[77:22.110] 我这边看。
[77:30.390] 写。
[77:38.470] 等会。
[77:41.020] 让我还有讲解是他讲解给别人讲，讲完了给他讲。
[77:49.040] 都等着单号等会
[77:52.480] 都不说了。
[77:53.430] 道理不说一声吗？你儿子一会吗？我给老徐打个电话，他应该马上就批了。
[78:00.920] 有可能网慢什么
[78:03.550] 上做到做的
[78:09.160] 同事，
[78:10.880] 以前个人那给我们打，当时就到
[78:14.200] 就写下。
[78:15.420] 没事，等会期间。
[78:18.790] 有可能
[78:20.030] 的。
[78:23.580] 工行没上班。
[78:26.170] 上海工行没钱了。
[78:28.480] 这个有可能对。
[78:35.250] 的。
[78:43.490] 的。
[79:47.280] 底盘相对。
[79:49.440] 气旋对空气阳光。
[79:54.620] 要。
[79:59.360] 不能到位，
[80:02.450] 你好。
[80:03.910] 可以
[80:06.850] 对。
[80:12.640] 你好哥。
[80:17.880] 周六日上班。
[80:32.340] 小时图配没车？
[80:36.680] 好长时间没车了。
[80:41.360] 你交易是吗？
[80:45.240] 对350，对倒有展车能不能开？
[80:52.040] 对。
[80:57.910] 你待会你过来我给你看看。
[81:02.960] 给我打电话就行。
[81:11.490] 对。
[81:13.040] 好了哥，没事再见。
[85:11.120] 的
[87:46.280] 号。
[87:48.330] 行。
[87:51.020] 的。
[88:14.930] 是吧？
[88:15.780] 你要是不动你倒没事，你跟你到。
[88:19.250] 他
[88:20.360] 所以我说我这
[88:23.260] 不要了。
[89:11.730] 一样吗？
[89:12.600] 不一样的。
[89:15.010] 还没写好的感想。
[89:17.440] 分房子。
[89:28.680] 大脑、
[89:30.000] 朋友。
[89:31.510] 比较小一点。
[89:33.790] 欺负了。
[90:12.220] 睡觉、
[90:14.970] 今天
[90:16.530] 的。
[90:20.250] 还。
[90:55.690] 的
[92:26.990] 1
[92:30.320] 15911050。
[93:25.450] 会计西方
[93:30.070] 你在哪呢？
[93:31.970] 这都是这样的。
[93:36.540] 谁知
[93:37.890] 然后走到那个房间。
[93:40.070] 没事，我说我快递寄到制造公司，你说什么？我专门要事先拿走还是你先拿走，因为他不能折，你搁到我这儿到时候一块上牌什么，你说再折到时候的
[93:53.720] 那是什么？
[93:55.690] 到时候还用带着。
[93:57.180] 不用。
[93:59.170] 下次去上班的时候还是带着营业执照副本原件能碰到这样。
[94:09.520] 也这样。
[94:10.700] 但是上面写着你的名，你的那种就这样。
[94:18.680] 你看
[94:22.880] 茶农过来接到这儿的
[94:28.780] 我一看是你的电话，你这句话我说你怎么知道？
[94:31.810] 这了。
[94:35.510] 好了。
[94:36.670] 我还偿权说
[94:38.320] 他银行选错了，这东西我都不知道，你帮我再用。
[94:43.580] 行，我弄开看看。
[94:46.230] 我再给你确认好，要万一是你的东西我给你拆开了，对吧？
[94:51.790] 行行好好了。
[94:56.850] 够了，对。
[95:18.950] 先占下来。
[95:36.990] 包括人。
[95:47.560] 原貌的信访的。
[95:48.800] 对吧？我不喜欢太胖。
[95:56.080] 太。
[95:57.320] 的。
[96:24.280] 昨天等他们就跟。
[96:25.600] 查看一下能不能介绍，不能加上不能说。
[96:28.980] 那5万得上班，今天
[96:31.450] 到时候拿着过来退。
[96:33.240] 还得拿过来退，上牌的时候退给。
[96:36.230] 不是3月之后对吧？你让财务收好了，这可别丢了，放这里。
[96:42.510] 这方面后面放心，当你统一都给。
[96:46.080] 不，其实放哪一样，他怎么回去你放着放在车里边。
[96:50.120] 就放这里头放这里边。
[96:52.430] 跟她那个鞋也从
[96:55.160] 他刚才一样都一块，
[96:56.830] 这个回忆就搁到营业执照里边了。
[97:19.950] 都放起来了。
[97:20.840] 然后做了一个晚上，
[97:22.490] 然后设计师也送了那个东西。
[97:25.140] 他们现在三然后到时候这些
[97:27.510] 谁知
[98:05.410] 你还是说打第二次临牌的时候，
[98:08.440] 不用开车来，还拿着手机来。
[98:10.340] 拿这几个就行了，不是拿着主要是营业执照副本。
[98:14.090] 别的都在我这了。
[98:20.260] 我去给你出保险，
[98:23.590] 讲解了解他这完事了，他给我打电话咱们开始讲，
[98:28.500] 讲解完了就没事，咱姐，完了我就给你办电话，咱们就没事了。
[98:32.720] 行了吧？
[98:33.830] 懂了吧？
[98:59.260] 奔驰G多少钱？
[99:00.740] 记得两百三四378九百6333 300多了，
[99:07.870] 段长不少。
[99:13.180] 好
[99:17.940] 我去出保险的，你们做点歇会儿或者溜达溜达都行。
[99:24.700] 这个材料时候能拿着吗？
[99:27.000] 车钥匙行，你先坐这里，等你出来看看。
[99:30.120] 我自己先研究。
[99:31.500] 你留一个电话，
[99:33.790] 出保险的时候也得留个电话吗？
[99:37.400] 1316我不跟你好了，113161356。
[99:44.040] 111。
[99:45.680] 行出保险还有不要签字，就是盖章，一会儿你先出就行了。
[100:23.880] 1372
[100:24.960] 4。
[100:37.610] 完了算你给我出一下。
[100:39.700] 有紧张。
[100:41.890] 有了。
[100:44.830] 情况。
[101:07.040] 电话不说。
[101:10.150] 你说。
[101:14.480] 13161356三个1。
[101:18.900] 赠3万
[101:25.400] 上去拍她的公司。
[101:29.240] 按照这个钱收了，
[101:36.470] 的没问题。
[101:39.330] 到
[101:45.530] 了。
[101:55.670] 电话
[101:57.110] 的，
[102:02.050] 昨天
[102:07.510] 了。
[102:49.690] 现在0后这是三楼里面是12楼0。
[102:53.030] 3楼。
[102:56.290] 财务换地了是吧？
[102:58.110] 这也不算。
[102:59.800] 在屋里。
[103:03.200] 但我没说
[103:24.000] 他要完成我网站那了，
[103:28.940] 财务都搬三口就能不能。
[103:31.070] 没知道。
[103:33.650] 你没关系。
[103:35.890] 可是
[103:37.130] 我又不能太过。
[103:39.660] 你别着急，你这块你
[103:41.470] 要是不合适，我觉得
[103:43.710] 我没有说的别的事儿，我说着说着看不我父亲这个人。
[103:48.920] 确实坏了我的名字什么？
[103:51.810] 你父亲不是正经的合适。
[103:55.570] 我爸生活的责任。
[104:35.120] 你看下邮件。
[104:37.460] 什么人？
[104:45.170] 烦恼没有。
[104:49.070] 有没有你的撒大一点？
[104:51.110] 都是贪官。
[104:52.810] 发票。
[104:54.030] 结果
[104:54.900] 卡的话
[105:00.520] 郭老师
[105:01.820] 他他俩就在车上，那就是车上在车上要旁边的。
[105:06.860] 你的
[105:46.440] 又高。
[105:47.670] 的。
[107:02.270] 我把这次。
[107:03.120] 车他可以拍个照片，咱们再慢慢直接平台后面的这边。
[107:09.380] 对。而且。
[107:30.280] 能看见吗？
[107:40.610] 怎么。
[107:41.760] 有人
[108:18.050] 你好。
[108:22.650] 怎么
[108:32.410] 可以。
[108:34.090] 然后的那部分是给他开股票是吧？
[108:41.160] 的
[108:45.120] 行行，能给他开除了就行。
[109:40.850] 数据
[109:57.070] 张军300把那放你的。
[110:10.210] 马上谁知
[110:11.990] 你这领染吗？
[110:13.400] 行。
[110:30.120] 还有保险出来。
[110:31.440] 马上过来给他们讲。
[110:33.030] 咱一会他给你讲讲，表示跟你讲，然后讲完之后你俩在那吃个吃饭，咱们办临牌你给我回去。
[110:40.020] 因为他办理班到11:30，明天就把我大风当中解决了，
[110:44.450] 11:30，然后他12:30开始。
[110:48.430] 11:30结束，对，10:30~12:30休息。
[110:53.240] 一会完事你俩吃个饭讲完车吃个饭差不多，
[111:15.030] 一会他来了，他so所有功能都给你讲一遍，
[111:31.800] 你说鞭炮放你进去真的吗？
[111:34.350] 轮胎以前红牌就结束了，
[111:37.260] 完了我天走开打开一下，
[112:03.180] 烦。
[112:08.500] 拿跑one旁边的轮胎，
[112:12.750] 专门的轮胎太旧了。
[112:16.840] 太脏。
[112:18.210] 乐乐说你喷一下就行。
[112:21.600] 看一下自己碰到
[112:23.080] 糊糊到那了。
[112:24.500] 松你怎么的，他不服务了。
[112:27.160] 我不是你得的都没有，妈妈皇上不要扶那个。
[112:32.680] 你现在敢换了换对完全落好水拍摄不变。
[112:41.750] 你肯定没给我喷。
[112:43.500] 看。
[112:46.060] 无视我，你圈肯定没给我喷。
[112:48.570] 就这事吗？
[113:36.770] 怎么
[113:38.010] 谁知
[113:39.180] 这是亮的还是消毒的量？
[113:41.870] 对海伦太太久了。
[113:44.220] 所以我给你喷点吗？
[113:47.770] 他肯定是洗完车之后，他坐那玩洗车房，他
[113:51.800] 有个水坑，他送的东西一会他给弄了，别着急。
[114:06.050] 这看着像一样对不对？
[114:09.910] 特别是这个事，对我都看不过去了。
[114:14.400] 跟他不是就跟旧轮胎似的，对，他肯定是压了水坑了，他洗车的时候。
[114:21.230] 了。
[114:27.310] 就放了。
[114:28.160] 了。
[114:44.260] 不可能就是闲着。
[114:49.590] 您这也可以保养维修是吧？都可以从后门咱们4S店
[114:54.000] 维修保养都在。
[114:55.370] 开始讲是吧？开始讲了您好，劲波波店负责这个车的功能介绍，
[115:00.680] 咱们买的是没发错，我
[115:03.860] 然后这边玩玩。
[115:53.080] 翻过来了。
[115:55.120] 轮胎没有风，看着特脏，
[115:59.160] 为了他一般都
[116:00.790] 特别看看着看着特别就坑槽什么就
[116:06.350] 我看着都看不过去了，啥买8克。
[116:24.470] 搜了一下。
[116:27.250] 要。
[116:53.600] 号。
[116:58.540] 数据、
[117:02.400] 的。
[117:08.490] 的。
[117:15.180] 的
[117:18.790] 的。
[117:20.710] 结果。
[117:24.160] 的。
[117:25.660] 谁知
[117:27.130] 今儿上班在。
[117:30.380] 不是说专门。
[117:31.730] 我知道。
[117:36.560] 张经理中午。
[117:41.820] 可以。没问题。
[117:47.160] 给我办完事，咱尽量早一点过来。
[117:50.660] 了，你帮我发一下马，他老提出做错了。
[117:57.210] 一些他们我不知道是这个里面怎么着，但是他侧面没错，王峰给报咱们吗？
[118:03.510] 就完了对不对？我已经提完了。
[118:07.450] 对了，我给他们了，对看能发出去头发出去不包装。
[118:13.220] 有一个136是什么？
[118:16.260] 贴膜。
[118:18.680] 规模很大，的
[118:24.080] L。
[118:25.930] 刚刚。
[118:27.900] 然后bb没什么手机号。
[118:35.400] 又对刚才那个可以完了。
[118:40.130] 没有吗？我都提交模板了。
[118:45.520] 对手机号不变就是。
[118:55.070] 性对他也
[118:59.440] 的。
[119:03.490] 可是他们没错明白了，要求你好吴院长。
[119:09.620] 行。
[119:11.550] 行行，你办完了你过来就行。
[119:15.390] 大概几点？
[119:17.300] 大概几点？
[119:18.800] 晚点行没问题。
[119:21.810] 行，我提前给你准备好了，咱们过来就赶紧交钱办就行了，有问题吗？
[119:27.750] 车主的身份证原件，然后上次定金的收据跟那合同都带过来。
[119:35.200] 反正行。
[119:38.790] 后边不用，然后尽量你完事之后能早就稍微早一点好吧？你先忙正事。
[119:46.890] 好了王先生。
[120:04.510] 把他们
[120:05.520] 快乐
[120:11.870] 上班。
[120:49.050] 照你拆检，然后有一个不发价格就是
[120:52.760] 章，然后就直接点。
[120:59.870] 不是这样。
[121:02.050] 做不到那点钱，你用谁跌的呢？
[121:05.900] 照片公司路过这原来弄走了，刚才说我知道都是了。
[121:38.290] 还有徐哥干吗？
[121:39.520] 是吧？
[121:43.710] 几
[121:53.050] 花
[121:55.790] 场
[121:59.120] 场
[122:16.490] 坏
[122:18.200] 数据
[122:19.890] 场
[122:21.200] 的
[122:22.610] 点
[123:07.760] 三
[123:27.600] 谁知
[123:36.620] 了。
[123:37.400] 没有一个焦点，咱们
[123:40.310] 的
[123:44.080] 那
[123:50.140] 深圳回来之后联系了下午去
[124:36.120] 龙哥凤。
[124:38.830] 我能唱歌演唱会。
[124:40.360] 当然不能了。
[124:42.710] 感觉
[124:44.690] 找jj
[124:46.630] 要
[124:50.390] 火不能给Y头，不是Y自个借去，外面好多人一样的，不外头好多人都吃饭都爱的，那是金属器，
[124:59.100] 不是金属漆，对着所有车子把一道影响回头。
